# z	a	b	c	err_a	err_b	err_c
43.619	-1.4036e-02	1.1555e-01	9.6622e-01	8.5513e-03	1.7276e-02	8.7034e-03
38.919	-7.8815e-03	1.3102e-01	9.6496e-01	8.9589e-03	1.8151e-02	9.1650e-03
31.137	5.2415e-02	1.0921e-01	9.8730e-01	1.0951e-02	2.2367e-02	1.1365e-02
30.000	8.0145e-02	8.2084e-02	1.0011e+00	1.1685e-02	2.3906e-02	1.2163e-02
27.900	1.6732e-01	-1.5570e-02	1.0455e+00	1.3858e-02	2.8458e-02	1.4522e-02
26.124	2.9703e-01	-1.6904e-01	1.1097e+00	1.6905e-02	3.4850e-02	1.7838e-02
24.597	4.4034e-01	-3.1083e-01	1.1582e+00	2.1014e-02	4.3493e-02	2.2330e-02
23.268	6.1265e-01	-4.6909e-01	1.2057e+00	2.5564e-02	5.3123e-02	2.7360e-02
22.100	7.2255e-01	-4.5932e-01	1.1637e+00	3.0609e-02	6.3862e-02	3.2992e-02
21.062	8.3934e-01	-4.1421e-01	1.0971e+00	3.6035e-02	7.5483e-02	3.9113e-02
20.134	8.6782e-01	-1.6548e-01	9.3383e-01	4.1443e-02	8.7149e-02	4.5290e-02
19.298	9.1913e-01	9.0566e-02	7.6220e-01	5.0419e-02	1.0642e-01	5.5462e-02
18.540	7.4553e-01	7.5816e-01	4.2111e-01	5.0145e-02	1.0622e-01	5.5503e-02
17.848	6.8774e-01	1.2817e+00	1.3266e-01	5.8658e-02	1.2469e-01	6.5312e-02
17.215	4.4333e-01	2.1326e+00	-2.8053e-01	6.0430e-02	1.2887e-01	6.7660e-02
16.633	3.0337e-01	2.8181e+00	-6.1372e-01	6.5514e-02	1.4013e-01	7.3723e-02
16.095	7.6819e-02	3.6018e+00	-9.5198e-01	6.8363e-02	1.4664e-01	7.7294e-02
15.596	1.2446e-01	3.8585e+00	-1.0368e+00	7.2018e-02	1.5490e-01	8.1798e-02
15.132	-1.9166e-01	4.8992e+00	-1.4998e+00	8.2418e-02	1.7773e-01	9.4006e-02
14.699	-1.7828e-01	5.3186e+00	-1.6577e+00	9.3725e-02	2.0262e-01	1.0735e-01
14.294	-5.8173e-01	6.3923e+00	-2.0664e+00	9.0001e-02	1.9496e-01	1.0341e-01
13.914	4.0576e-02	5.5131e+00	-1.5710e+00	1.1608e-01	2.5204e-01	1.3390e-01
13.557	-8.0934e-01	7.6579e+00	-2.5073e+00	1.1094e-01	2.4133e-01	1.2834e-01
13.221	-6.2732e-01	7.7548e+00	-2.4743e+00	1.2766e-01	2.7829e-01	1.4820e-01
12.903	-3.7894e-01	7.6213e+00	-2.3101e+00	1.3201e-01	2.8833e-01	1.5371e-01
12.603	-1.3127e-01	7.4663e+00	-2.1355e+00	1.3790e-01	3.0188e-01	1.6117e-01
12.318	3.0335e-01	6.7505e+00	-1.6057e+00	1.3849e-01	3.0379e-01	1.6241e-01
12.048	-3.4319e-01	8.5996e+00	-2.3900e+00	1.4822e-01	3.2577e-01	1.7437e-01
11.791	-2.6066e-01	8.8876e+00	-2.4448e+00	1.6817e-01	3.7022e-01	1.9833e-01
11.546	5.0410e-01	7.8139e+00	-1.8243e+00	1.9027e-01	4.1991e-01	2.2536e-01
11.313	4.5351e-01	8.3671e+00	-1.9485e+00	2.0156e-01	4.4572e-01	2.3950e-01
11.090	-8.2693e-02	9.6006e+00	-2.3472e+00	1.9797e-01	4.3852e-01	2.3587e-01
10.877	-1.3936e-01	9.8346e+00	-2.2263e+00	2.1444e-01	4.7593e-01	2.5632e-01
10.673	6.1956e-01	9.4801e+00	-2.1670e+00	2.2915e-01	5.0991e-01	2.7511e-01
10.478	8.6990e-01	9.2162e+00	-1.8628e+00	2.4968e-01	5.5690e-01	3.0096e-01
10.290	2.1329e+00	7.4981e+00	-9.9863e-01	2.7712e-01	6.2006e-01	3.3592e-01
10.110	1.3820e+00	9.1448e+00	-1.5202e+00	2.6397e-01	5.9153e-01	3.2074e-01
9.938	2.2952e+00	7.8730e+00	-8.1306e-01	3.0271e-01	6.8046e-01	3.6986e-01
9.771	2.8133e+00	7.3280e+00	-5.7620e-01	3.2210e-01	7.2585e-01	3.9524e-01
9.611	1.8958e+00	9.8459e+00	-1.5250e+00	2.9466e-01	6.6522e-01	3.6253e-01
9.457	1.4226e+00	1.0744e+01	-1.5832e+00	3.0934e-01	6.9962e-01	3.8172e-01
9.308	8.4114e-01	1.2933e+01	-2.7565e+00	3.2572e-01	7.3886e-01	4.0406e-01
9.164	1.1383e+00	1.3126e+01	-2.7024e+00	3.5460e-01	8.0683e-01	4.4216e-01
9.026	2.5311e+00	1.0927e+01	-1.6329e+00	3.8524e-01	8.7913e-01	4.8290e-01
8.892	7.6075e-01	1.5156e+01	-3.3150e+00	3.9778e-01	9.1019e-01	5.0099e-01
8.762	3.0386e+00	1.1339e+01	-1.7060e+00	3.8448e-01	8.8385e-01	4.8832e-01
8.636	4.2189e+00	9.5024e+00	-5.2089e-01	3.8877e-01	8.9712e-01	4.9732e-01
8.515	3.2137e+00	1.2199e+01	-1.5975e+00	4.0442e-01	9.3424e-01	5.1797e-01
8.397	3.5225e+00	1.2030e+01	-1.4386e+00	4.5969e-01	1.0667e+00	5.9363e-01
8.283	2.7476e+00	1.4203e+01	-2.1623e+00	4.2088e-01	9.7868e-01	5.4546e-01
8.172	3.3423e+00	1.3832e+01	-2.0204e+00	4.4424e-01	1.0359e+00	5.7832e-01
8.064	1.2974e+00	1.8420e+01	-3.8218e+00	4.1726e-01	9.7417e-01	5.4408e-01
7.960	3.5741e+00	1.4046e+01	-1.3971e+00	4.0490e-01	9.5095e-01	5.3411e-01
7.859	2.6746e+00	1.7505e+01	-3.3194e+00	4.9199e-01	1.1556e+00	6.4805e-01
7.760	2.7750e+00	1.7093e+01	-2.7474e+00	4.3493e-01	1.0260e+00	5.7753e-01
7.664	2.8863e+00	1.8151e+01	-3.1618e+00	5.0024e-01	1.1845e+00	6.6876e-01
7.570	9.8986e-01	2.2615e+01	-5.1563e+00	5.0485e-01	1.1956e+00	6.7427e-01
7.480	3.8147e+00	1.7291e+01	-2.2741e+00	4.9408e-01	1.1877e+00	6.8013e-01
7.391	1.0216e+00	2.4307e+01	-5.6379e+00	5.1838e-01	1.2357e+00	6.9993e-01
7.305	8.6521e-01	2.5852e+01	-6.4476e+00	5.2094e-01	1.2487e+00	7.1084e-01
