,bin0,bin1,bin2,bin3,bin4,bin5
8.1720,"[2.3686535373680813, 0.22023527142265958, 0.568090263730721, 0.8113832117667525, 0.7166297871312277]","[2.6803224055712014, 0.17217940277414442, 0.8113832117667525, 0.9231702409490434, 0.8730480661021605]","[2.820965229977947, 0.16331655574550222, 0.9231702409490434, 1.0044238839240276, 0.9662871972358327]","[2.88762248986058, 0.16653883307622705, 1.0044238839240276, 1.0743703370253554, 1.0359956359954559]","[3.0317314897956837, 0.1989757318260189, 1.0743703370253554, 1.1757413356865274, 1.1208617127748897]","[3.2867036586694, 0.2632079692325193, 1.1757413356865274, 2.186565121614139, 1.3195444475172033]"
8.0640,"[2.4033955451622155, 0.21318700189464765, 0.5656709288493195, 0.8096992616831655, 0.7144824224834]","[2.7191486805506884, 0.1730584691658168, 0.8096992616831655, 0.9213353422204326, 0.8718755915257682]","[2.874432204751776, 0.17080021559231845, 0.9213353422204326, 1.004305815342948, 0.9659140448117267]","[2.9496453977857224, 0.16405253601129918, 1.004305815342948, 1.0739377929212142, 1.0363838369896106]","[3.0760428800484014, 0.17590815343588953, 1.0739377929212142, 1.1762151072601794, 1.1219540776714285]","[3.290655485226076, 0.218774348888218, 1.1762151072601794, 2.19390569614367, 1.321536999436372]"
7.9600,"[2.4516827719167846, 0.23214711822430875, 0.563386425087896, 0.8079960685984129, 0.7125406522756551]","[2.7527714643596126, 0.16906350506522008, 0.8079960685984129, 0.9207824011627445, 0.8706558554306096]","[2.8993932362535793, 0.16072610806808832, 0.9207824011627445, 1.0037765395775318, 0.9654214395773004]","[2.9811028061562257, 0.15161071056522996, 1.0037765395775318, 1.0747820681781115, 1.0366329910714895]","[3.114683842711685, 0.1582879018138592, 1.0747820681781115, 1.1785670799868988, 1.1229864725025893]","[3.3252006988894873, 0.23664884077691525, 1.1785670799868988, 2.21927422769618, 1.3244257289943462]"
7.8590,"[2.4716710085326086, 0.2408276681793344, 0.561164275016427, 0.8069926902858788, 0.7105012109880408]","[2.803725440498322, 0.20474521207287388, 0.8069926902858788, 0.9195373186023128, 0.869498097415141]","[2.923457747538107, 0.18351805831732967, 0.9195373186023128, 1.0036084998863284, 0.96477065453636]","[3.002900751523695, 0.1725916471375518, 1.0036084998863284, 1.0752164673607347, 1.036586212222392]","[3.147581042506841, 0.2030537103043501, 1.0752164673607347, 1.1789668749493458, 1.1236804531832274]","[3.3813267282298924, 0.23043897696931914, 1.1789668749493458, 2.203807678668762, 1.326902346839801]"
7.7600,"[2.4972205320200422, 0.21916844790510429, 0.5590421176731823, 0.805947491644548, 0.7084977270426488]","[2.7975772973225745, 0.1664012178724926, 0.805947491644548, 0.9186038459976537, 0.8681508671512547]","[2.951243360938572, 0.16075217546961376, 0.9186038459976537, 1.0039700609321962, 0.9643969582781268]","[3.029334534979967, 0.16468003214886753, 1.0039700609321962, 1.076074615534851, 1.0368383057902806]","[3.1639395171361566, 0.17965202044196682, 1.076074615534851, 1.1833866501681176, 1.1245852789478143]","[3.4119574275711497, 0.24655543326204304, 1.1833866501681176, 2.229639525851004, 1.330624288614876]"
7.6640,"[2.552252063225814, 0.23030474744464424, 0.5568486175784536, 0.8033036377536715, 0.7065571674881824]","[2.842695785453017, 0.17245663217663207, 0.8033036377536715, 0.9176664852920349, 0.867047682367211]","[2.9791591744939554, 0.16025471165588107, 0.9176664852920349, 1.0028297332998044, 0.9637780194842623]","[3.0780643917137738, 0.16548175012208852, 1.0028297332998044, 1.0776384589370724, 1.0370632718076371]","[3.224354584663739, 0.18846785935441532, 1.0776384589370724, 1.1833408484575207, 1.125790889377277]","[3.4596203250937743, 0.2521803661898191, 1.1833408484575207, 2.250054014955097, 1.3331332431518428]"
7.5700,"[2.547475370837056, 0.2284187799719205, 0.5547390395373276, 0.8029579255573601, 0.7045133112786625]","[2.86840462651102, 0.16631018663093503, 0.8029579255573601, 0.9168566995811377, 0.865801229590087]","[3.01871411539607, 0.18828859611652224, 0.9168566995811377, 1.0038781666476218, 0.9634987017577783]","[3.104209757063312, 0.17564913338882288, 1.0038781666476218, 1.0790975816032975, 1.0372913191405846]","[3.263706384356635, 0.2063944434987335, 1.0790975816032975, 1.1859427627657941, 1.126804134780884]","[3.450785477857736, 0.23062635153074101, 1.1859427627657941, 2.2577213322001284, 1.3353301204517942]"
7.4800,"[2.5693990578424604, 0.22527734189361537, 0.552522000899413, 0.8009748851467072, 0.7023880346976664]","[2.8866971428108354, 0.17059274350902584, 0.8009748851467072, 0.9164071250667561, 0.864385409750662]","[3.054339590149286, 0.19792641207523107, 0.9164071250667561, 1.0035442106560444, 0.9628675867227087]","[3.126820824836543, 0.15296965355572686, 1.0035442106560444, 1.0787105420726415, 1.0370527348548897]","[3.272908975324109, 0.19792100466049325, 1.0787105420726415, 1.1870733559628646, 1.1272201550025758]","[3.533668401164567, 0.30246372615057837, 1.1870733559628646, 2.318538341204712, 1.3409573280527054]"
7.3910,"[2.58375105854309, 0.22784074867471343, 0.5505223036892112, 0.7994624278990401, 0.7004986720872451]","[2.9240874657205405, 0.17636043324946796, 0.7994624278990401, 0.9142884523483765, 0.8633462791075114]","[3.09069776083471, 0.1932162826264603, 0.9142884523483765, 1.003607612486342, 0.9624725535147297]","[3.1769903252798977, 0.1605271177623062, 1.003607612486342, 1.0810425776689836, 1.0373962304771316]","[3.3375537259687063, 0.20460677479728634, 1.0810425776689836, 1.1891265201051109, 1.1286175201114834]","[3.5390594929335206, 0.23519237947709523, 1.1891265201051109, 2.2725841419877493, 1.3411684419025764]"
7.3050,"[2.6120927332799915, 0.2404577322172096, 0.548546100250832, 0.7985220451146305, 0.6985920396422476]","[2.9653480660768654, 0.1874559315332869, 0.7985220451146305, 0.913887917333747, 0.8621322197136252]","[3.125232744059426, 0.18574996034422575, 0.913887917333747, 1.0028460976166573, 0.961902279571045]","[3.1936121940889826, 0.16959636204411738, 1.0028460976166573, 1.0801316831205017, 1.0375027490299016]","[3.3479491716058463, 0.1868090626728327, 1.0801316831205017, 1.1915267200428492, 1.1292627281733802]","[3.599507001798213, 0.2517676581056581, 1.1915267200428492, 2.3002007826425452, 1.3454120778369327]"
