,bin0,bin1,bin2,bin3,bin4,bin5
15.1320,"[0.8861453090741517, 0.13535496690221183, 0.6868510715014204, 0.8773393622288023, 0.8024093411862656]","[1.1096964649207468, 0.07019949910287063, 0.8773393622288023, 0.9515308492910721, 0.9173627358765973]","[1.2106708214016628, 0.08017636781408384, 0.9515308492910721, 1.003308929394758, 0.9808453819176731]","[1.2654168876737963, 0.07327172109379537, 1.003308929394758, 1.0534202948797828, 1.0260258046362183]","[1.3561592860776568, 0.08535988916717255, 1.0534202948797828, 1.12307471734717, 1.083323056915062]","[1.4991103871951048, 0.1135239004425929, 1.12307471734717, 1.7377201590910172, 1.2114991003964057]"
14.6990,"[0.9598689773545, 0.14385544770497066, 0.6808978590718099, 0.8746774510390479, 0.7984158061539204]","[1.1944427418507577, 0.07017303219280299, 0.8746774510390479, 0.9505026471238672, 0.9154382748423359]","[1.297446644943928, 0.08450245126572736, 0.9505026471238672, 1.0037798753670573, 0.9803444316797825]","[1.3502669573438097, 0.07308578761534858, 1.0037798753670573, 1.0545407392892026, 1.026528771046538]","[1.4478630686697844, 0.08912642200034318, 1.0545407392892026, 1.1259196263579272, 1.0850509230666723]","[1.5919883634058616, 0.11662528209007386, 1.1259196263579272, 1.755746980964333, 1.2162051569239707]"
14.2940,"[1.0281453679115244, 0.14687898861662987, 0.6752279418481193, 0.8719453591676463, 0.7946253361930267]","[1.265666807730591, 0.0681652861434584, 0.8719453591676463, 0.949515369979274, 0.9135917302326271]","[1.372374372705582, 0.08351761425681599, 0.949515369979274, 1.0040087894334564, 0.9798734936774035]","[1.4212061638114613, 0.07396297009772494, 1.0040087894334564, 1.0555177044753246, 1.0270074485983927]","[1.5142475618074775, 0.08542563680725372, 1.0555177044753246, 1.1279565004112917, 1.0866654107218134]","[1.658545484940567, 0.1114061129106296, 1.1279565004112917, 1.7713593564836312, 1.220566605023479]"
13.9140,"[1.0905879831861487, 0.15482760307686524, 0.6697419402340965, 0.8679244273235669, 0.7909787220016085]","[1.330335483475102, 0.06921387386419682, 0.8679244273235669, 0.9485215187385331, 0.9118172155145794]","[1.4377306769055176, 0.08423265490460426, 0.9485215187385331, 1.0045561280234105, 0.9793786104106964]","[1.4919748507991488, 0.09615848869174283, 1.0045561280234105, 1.0565348451717629, 1.027476040556885]","[1.5938870646534777, 0.12922415171491944, 1.0565348451717629, 1.130598056369911, 1.0882386838109201]","[1.7388150016536095, 0.14836070473607568, 1.130598056369911, 1.7877828919488863, 1.2248364125667301]"
13.5570,"[1.1639556709474053, 0.1641602203016113, 0.6644600252098579, 0.8661495359567202, 0.7874321961288849]","[1.4110050407802834, 0.07476267740713127, 0.8661495359567202, 0.9476239964882728, 0.9101171362679085]","[1.5239602026167132, 0.08655791767970392, 0.9476239964882728, 1.0046409610858071, 0.9789378002649848]","[1.5765617123944655, 0.07979225237616273, 1.0046409610858071, 1.0575758922951122, 1.0279715654512407]","[1.6717732147590791, 0.09192206895999827, 1.0575758922951122, 1.1325342978175161, 1.0897623636546918]","[1.8134798380044548, 0.11183945569518637, 1.1325342978175161, 1.801912187801657, 1.2289497453534515]"
13.2210,"[1.2340425533342032, 0.1713409743296855, 0.6593518252823353, 0.8633084463415894, 0.7840097626854801]","[1.486800536325811, 0.08217966068744892, 0.8633084463415894, 0.9465823445263691, 0.9084512497857606]","[1.5940324256076055, 0.08580498398406798, 0.9465823445263691, 1.0044492036015988, 0.9784615567042758]","[1.6500880132297746, 0.08623136880505175, 1.0044492036015988, 1.058382343907168, 1.0283913628715768]","[1.7487284203468259, 0.1079025238841587, 1.058382343907168, 1.1344110200831325, 1.0912277513941964]","[1.8956442988298217, 0.12376017872539641, 1.1344110200831325, 1.8178775060734655, 1.2329965160166934]"
12.9030,"[1.2889747699371, 0.1710544288420948, 0.6544993042176216, 0.8605487102804654, 0.7807168339274415]","[1.5504019086080776, 0.0868881321814186, 0.8605487102804654, 0.9458358231328138, 0.9068558362762364]","[1.660135187879222, 0.09332195269733368, 0.9458358231328138, 1.0042005895463957, 0.9780454735216114]","[1.712364989764967, 0.09026733782064507, 1.0042005895463957, 1.0591122168112623, 1.0288189139407118]","[1.8200940099137013, 0.11008835917509255, 1.0591122168112623, 1.1367143959355037, 1.092654968386089]","[1.9625142124655053, 0.1297496262250715, 1.1367143959355037, 1.8294368839405586, 1.236789077911697]"
12.6030,"[1.3423391904004707, 0.17048453039767122, 0.6498512729043905, 0.8577891761472408, 0.7775583094336657]","[1.6009092556299418, 0.08142298292433285, 0.8577891761472408, 0.9448010803766901, 0.9053036315205003]","[1.7201031602706518, 0.10326458974855127, 0.9448010803766901, 1.0041862466920182, 0.9776317263435621]","[1.77009206405683, 0.09004774751171864, 1.0041862466920182, 1.060017723394143, 1.0292478257359488]","[1.8727898474877318, 0.1060482372349011, 1.060017723394143, 1.1382292858035743, 1.0939936434407074]","[2.0249692633156733, 0.13915220558591027, 1.1382292858035743, 1.8446388371041829, 1.240616653535496]"
12.3180,"[1.4013729191986577, 0.16838483593681458, 0.6453968201806184, 0.8551132818356771, 0.7745455842285527]","[1.6540419482258844, 0.07999167966876386, 0.8551132818356771, 0.9438626528344592, 0.9038269516596759]","[1.7626781269842553, 0.09387400215239976, 0.9438626528344592, 1.0033778135609581, 0.977186980963515]","[1.8160797141204537, 0.08605662446093608, 1.0033778135609581, 1.0604210046356106, 1.0296392936223309]","[1.9208215670616253, 0.10833094421476243, 1.0604210046356106, 1.1395177075395937, 1.0952775351185966]","[2.0742224808570624, 0.1490782178100828, 1.1395177075395937, 1.8597644197887377, 1.2441643463419343]"
12.0480,"[1.4643807903862531, 0.17115511807665076, 0.6410207929697029, 0.8524425541969401, 0.7715192933423972]","[1.7263163239187975, 0.08997763148257998, 0.8524425541969401, 0.9430123825876108, 0.9023266230711131]","[1.8460052705403787, 0.10038491653697532, 0.9430123825876108, 1.0029295376135279, 0.9767861143197132]","[1.8925606996149262, 0.08716660600863822, 1.0029295376135279, 1.0610264726098242, 1.0300411971025676]","[1.9956215438331386, 0.11308298836015891, 1.0610264726098242, 1.1409476760476296, 1.09657995362339]","[2.154022225688615, 0.14562037672465203, 1.1409476760476296, 1.8746674621787789, 1.247874803397865]"
11.7910,"[1.5184563157639235, 0.1743997509257567, 0.6368854212694073, 0.8498725687302894, 0.7686716449867346]","[1.77392535326523, 0.09046864554442176, 0.8498725687302894, 0.9423507067537127, 0.9008906546229241]","[1.892699157158819, 0.10498265915471132, 0.9423507067537127, 1.0032462517869343, 0.9763425446785425]","[1.9425146299704352, 0.09811537953821671, 1.0032462517869343, 1.061806128452009, 1.030417170874965]","[2.0573697414907737, 0.12591872154354547, 1.061806128452009, 1.1429494490263765, 1.097868597759178]","[2.204191602988879, 0.14237663303222556, 1.1429494490263765, 1.8845103554382505, 1.2510604851668443]"
11.5460,"[1.5692056942241976, 0.17948140918815478, 0.6328567207022904, 0.8472587969699821, 0.7658529704999126]","[1.827839234639708, 0.09302512054597598, 0.8472587969699821, 0.9413901162595517, 0.8994514610523391]","[1.9428387755255696, 0.10671915503735847, 0.9413901162595517, 1.0035080535363403, 0.9758762050215556]","[2.0014413217689944, 0.10685671891403171, 1.0035080535363403, 1.0628363583915887, 1.0307813709327074]","[2.1137235178810743, 0.1262187429584538, 1.0628363583915887, 1.143712323197492, 1.0989958761518894]","[2.276819437842653, 0.1621504304107453, 1.143712323197492, 1.900573733904014, 1.2545552611892203]"
11.3130,"[1.6180188763032413, 0.17835385039401433, 0.6289355597216935, 0.8447897089391817, 0.763094419863087]","[1.883625774391154, 0.10143347858552099, 0.8447897089391817, 0.9406274910941111, 0.8980804905415529]","[2.0094746743590286, 0.1261621851748745, 0.9406274910941111, 1.0034604147658444, 0.9754950277382088]","[2.057443773224185, 0.10711245391272489, 1.0034604147658444, 1.0630984186460788, 1.0311457489167248]","[2.1652132558804156, 0.12945702709146567, 1.0630984186460788, 1.1457185754934918, 1.100161297878329]","[2.3294314324099856, 0.164315845426158, 1.1457185754934918, 1.9151977621592415, 1.2578339937170901]"
11.0900,"[1.6612667881355156, 0.17605283835146857, 0.6251824650065111, 0.8426051723375626, 0.7604566000169755]","[1.9267169375313649, 0.09866306188249188, 0.8426051723375626, 0.9399592733266985, 0.896778487757662]","[2.0473298981356836, 0.12165739063711392, 0.9399592733266985, 1.0033126085008797, 0.9750534910080472]","[2.0903533318380565, 0.10474139445402712, 1.0033126085008797, 1.063621870940993, 1.0314657361536772]","[2.203860400737626, 0.12428346994032839, 1.063621870940993, 1.146806559980913, 1.1012870431256607]","[2.3766244949496853, 0.16159796620127992, 1.146806559980913, 1.9258417499288827, 1.2610087761726438]"
10.8770,"[1.7137189015998764, 0.1851290497557812, 0.6215746496240989, 0.8413292981868459, 0.7579004858545847]","[1.9599875280605812, 0.09481566640246769, 0.8413292981868459, 0.9390213095711016, 0.8954783892125667]","[2.0767915319468684, 0.12078581463017013, 0.9390213095711016, 1.0035244754636008, 0.9746068706095409]","[2.1367533446619396, 0.11068663705865742, 1.0035244754636008, 1.0640491616909513, 1.031865018534155]","[2.2395784043123275, 0.12108743044038864, 1.0640491616909513, 1.1485183007051294, 1.1023655045416572]","[2.407572832757957, 0.1525656573959388, 1.1485183007051294, 1.9385401856495499, 1.2640741995539309]"
10.6730,"[1.7597711174706443, 0.18295772245172606, 0.6178084861156774, 0.83985324633586, 0.755199240191793]","[2.0296521574437176, 0.11391594681302751, 0.83985324633586, 0.9384318189374321, 0.8940827401470127]","[2.149419296128828, 0.13344333391200125, 0.9384318189374321, 1.0040795597692322, 0.9741366643927412]","[2.2125623985051672, 0.11447531073829564, 1.0040795597692322, 1.064577791464652, 1.03215419894182]","[2.319272401738064, 0.14203148931853427, 1.064577791464652, 1.150259041256858, 1.1035874790467146]","[2.5142865150192244, 0.1719731918177918, 1.150259041256858, 1.9508763610706346, 1.2676502743214504]"
10.4780,"[1.7960866317544597, 0.17872689459716984, 0.614258930896292, 0.8385940000995712, 0.7526919844946137]","[2.0679638310436115, 0.11102629702983839, 0.8385940000995712, 0.9379686303402346, 0.8927783920680614]","[2.186641265123693, 0.12369994723408549, 0.9379686303402346, 1.0039664230933854, 0.9736831486999221]","[2.2406995781015997, 0.12182999921601764, 1.0039664230933854, 1.065360772652648, 1.0323811678423898]","[2.361426228442455, 0.17389478283872883, 1.065360772652648, 1.15115765893681, 1.104729881772562]","[2.555383217123759, 0.1975330386338471, 1.15115765893681, 1.9629763445845752, 1.2708348405347967]"
10.2900,"[1.8477736247304481, 0.18426582996138818, 0.6107436547684958, 0.8374125198911105, 0.7501553222174412]","[2.1235517988020103, 0.11117350735524713, 0.8374125198911105, 0.9372327023083027, 0.891474928584968]","[2.2442358552307637, 0.12978290676797527, 0.9372327023083027, 1.004039958598939, 0.9732234000803731]","[2.2909051069750332, 0.1262421662276411, 1.004039958598939, 1.0656766459495153, 1.0325778431858954]","[2.413352321034193, 0.16369103355118536, 1.0656766459495153, 1.1534361959432742, 1.1058282371634724]","[2.637987372278205, 0.20992746198066933, 1.1534361959432742, 1.9839348197814046, 1.274294173857919]"
10.1100,"[1.8917216186121055, 0.1803661896824158, 0.6074040325962472, 0.8356216484603535, 0.7477909488858909]","[2.1718291907353455, 0.11561022469767561, 0.8356216484603535, 0.9369286614702741, 0.8903062810770742]","[2.291078945974278, 0.14648685230180333, 0.9369286614702741, 1.004444904260502, 0.9728926221170479]","[2.34644185047542, 0.13027360693862813, 1.004444904260502, 1.06673513026245, 1.0329751258427289]","[2.454820660501229, 0.1447566004138995, 1.06673513026245, 1.1550476566836172, 1.106860304201548]","[2.6461108504792326, 0.20038716696705008, 1.1550476566836172, 1.9910654159481451, 1.2768159814724283]"
9.9380,"[1.9268259430122923, 0.17906940575778357, 0.6041328317714261, 0.8343251240177953, 0.7453158238138378]","[2.2066039649027727, 0.1240003420147167, 0.8343251240177953, 0.935858653066003, 0.8889332647691891]","[2.3298214490277935, 0.15610172278523793, 0.935858653066003, 1.004925827556727, 0.9723858303894235]","[2.384501490368364, 0.13333753097695497, 1.004925827556727, 1.0675785525448833, 1.0331330477051297]","[2.5062685274638494, 0.16205916355942523, 1.0675785525448833, 1.1564651763203606, 1.107945688966154]","[2.7079799845028445, 0.22306934440126258, 1.1564651763203606, 2.0097745694091254, 1.280192068987111]"
9.7710,"[1.94088994139759, 0.1807953852200644, 0.6010353278892699, 0.8332118895421396, 0.7430666209193684]","[2.2207515311687978, 0.12101996900165636, 0.8332118895421396, 0.9351478199935733, 0.8877063396945953]","[2.3541721874514283, 0.16010968400526995, 0.9351478199935733, 1.0051426528328056, 0.9719297555073605]","[2.4052368132910487, 0.13234753358823687, 1.0051426528328056, 1.068473120644878, 1.033349869201584]","[2.5281070614631846, 0.1646560491492646, 1.068473120644878, 1.1579020627056436, 1.1088310210198722]","[2.740444975411658, 0.23685285148396504, 1.1579020627056436, 2.0234244621468966, 1.2829621249933716]"
9.6110,"[2.0149694918045657, 0.1943684757671516, 0.5976952319183643, 0.8321288674045926, 0.7406308655528191]","[2.285216286177404, 0.12871798660499326, 0.8321288674045926, 0.9339387868864478, 0.8864050587316257]","[2.409265789909927, 0.15478959829366934, 0.9339387868864478, 1.0057725627081178, 0.9713727502841031]","[2.485396877788965, 0.1324809978744933, 1.0057725627081178, 1.0685354989394327, 1.033714858800633]","[2.6051592407623354, 0.14996667657172896, 1.0685354989394327, 1.1595143900359095, 1.1101269501994588]","[2.809968440943992, 0.20026406777278388, 1.1595143900359095, 2.033978067790652, 1.2861921177118334]"
