,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11
43.6190,[0.055 0.005 0.795 0.898 0.869],[0.059 0.004 0.898 0.93  0.915],[0.061 0.005 0.93  0.952 0.942],[0.062 0.005 0.952 0.97  0.961],[0.063 0.005 0.97  0.985 0.978],[0.064 0.005 0.985 0.999 0.992],[0.066 0.005 0.999 1.012 1.006],[0.067 0.005 1.012 1.028 1.02 ],[0.069 0.005 1.028 1.046 1.037],[0.07  0.005 1.046 1.069 1.057],[0.073 0.005 1.069 1.102 1.084],[0.077 0.006 1.102 1.289 1.143]
38.9190,[0.069 0.006 0.774 0.887 0.855],[0.075 0.005 0.887 0.922 0.906],[0.078 0.006 0.922 0.947 0.935],[0.08  0.006 0.947 0.966 0.957],[0.081 0.006 0.966 0.983 0.975],[0.083 0.006 0.983 0.999 0.991],[0.085 0.006 0.999 1.013 1.006],[0.086 0.006 1.013 1.031 1.022],[0.089 0.007 1.031 1.051 1.041],[0.091 0.007 1.051 1.077 1.064],[0.095 0.007 1.077 1.114 1.094],[0.101 0.008 1.114 1.33  1.161]
31.1370,[0.107 0.01  0.729 0.861 0.824],[0.119 0.009 0.861 0.902 0.883],[0.124 0.01  0.902 0.933 0.918],[0.129 0.01  0.933 0.957 0.945],[0.132 0.011 0.957 0.978 0.967],[0.135 0.01  0.978 0.997 0.987],[0.14  0.011 0.997 1.015 1.006],[0.142 0.011 1.015 1.038 1.026],[0.148 0.012 1.038 1.063 1.05 ],[0.154 0.013 1.063 1.096 1.079],[0.162 0.014 1.096 1.142 1.117],[0.178 0.017 1.142 1.431 1.203]
30.0000,[0.115 0.011 0.72  0.856 0.818],[0.128 0.01  0.856 0.899 0.879],[0.134 0.011 0.899 0.93  0.915],[0.139 0.011 0.93  0.955 0.943],[0.144 0.012 0.955 0.977 0.966],[0.147 0.012 0.977 0.997 0.987],[0.152 0.013 0.997 1.016 1.006],[0.156 0.012 1.016 1.039 1.027],[0.162 0.014 1.039 1.066 1.051],[0.169 0.015 1.066 1.1   1.081],[0.178 0.016 1.1   1.148 1.121],[0.198 0.021 1.148 1.451 1.211]
27.9000,[0.132 0.013 0.704 0.846 0.806],[0.149 0.013 0.846 0.891 0.87 ],[0.157 0.014 0.891 0.924 0.909],[0.164 0.014 0.924 0.951 0.938],[0.17  0.015 0.951 0.975 0.963],[0.174 0.014 0.975 0.996 0.985],[0.181 0.017 0.996 1.016 1.006],[0.186 0.017 1.016 1.041 1.029],[0.194 0.018 1.041 1.069 1.054],[0.204 0.02  1.069 1.107 1.087],[0.218 0.022 1.107 1.159 1.13 ],[0.247 0.031 1.159 1.492 1.228]
26.1240,[0.15  0.016 0.689 0.836 0.795],[0.172 0.016 0.836 0.884 0.862],[0.182 0.018 0.884 0.919 0.902],[0.191 0.017 0.919 0.948 0.934],[0.199 0.02  0.948 0.973 0.96 ],[0.205 0.018 0.973 0.995 0.984],[0.214 0.021 0.995 1.017 1.006],[0.221 0.022 1.017 1.043 1.03 ],[0.232 0.024 1.043 1.073 1.057],[0.246 0.027 1.073 1.113 1.092],[0.265 0.03  1.113 1.169 1.139],[0.308 0.044 1.169 1.534 1.245]
24.5970,[0.17  0.019 0.674 0.827 0.784],[0.198 0.02  0.827 0.877 0.854],[0.211 0.023 0.877 0.914 0.896],[0.223 0.023 0.914 0.944 0.929],[0.233 0.026 0.944 0.97  0.957],[0.242 0.025 0.97  0.994 0.982],[0.253 0.027 0.994 1.018 1.006],[0.264 0.029 1.018 1.045 1.031],[0.278 0.032 1.045 1.077 1.06 ],[0.298 0.038 1.077 1.119 1.098],[0.325 0.04  1.119 1.18  1.147],[0.385 0.059 1.18  1.575 1.261]
23.2680,[0.191 0.024 0.661 0.819 0.774],[0.226 0.025 0.819 0.87  0.847],[0.242 0.028 0.87  0.908 0.89 ],[0.259 0.03  0.908 0.941 0.925],[0.272 0.032 0.941 0.968 0.954],[0.285 0.032 0.968 0.993 0.981],[0.298 0.034 0.993 1.018 1.006],[0.315 0.038 1.018 1.047 1.033],[0.334 0.042 1.047 1.081 1.063],[0.359 0.047 1.081 1.126 1.103],[0.396 0.052 1.126 1.19  1.155],[0.475 0.076 1.19  1.615 1.276]
22.1000,[0.214 0.029 0.648 0.811 0.764],[0.259 0.033 0.811 0.864 0.839],[0.279 0.035 0.864 0.904 0.885],[0.302 0.037 0.904 0.937 0.921],[0.318 0.04  0.937 0.967 0.952],[0.335 0.043 0.967 0.993 0.98 ],[0.351 0.041 0.993 1.019 1.006],[0.375 0.048 1.019 1.049 1.034],[0.399 0.054 1.049 1.085 1.066],[0.432 0.058 1.085 1.132 1.108],[0.479 0.063 1.132 1.2   1.163],[0.576 0.09  1.2   1.655 1.291]
21.0620,[0.24  0.036 0.635 0.803 0.755],[0.295 0.04  0.803 0.858 0.832],[0.322 0.044 0.858 0.899 0.879],[0.35  0.046 0.899 0.934 0.917],[0.372 0.05  0.934 0.964 0.949],[0.392 0.053 0.964 0.992 0.978],[0.415 0.053 0.992 1.019 1.005],[0.442 0.056 1.019 1.051 1.035],[0.475 0.066 1.051 1.088 1.068],[0.515 0.069 1.088 1.138 1.112],[0.573 0.074 1.138 1.209 1.17 ],[0.69  0.102 1.209 1.694 1.306]
20.1340,[0.268 0.043 0.624 0.795 0.746],[0.336 0.049 0.795 0.852 0.825],[0.37  0.053 0.852 0.894 0.874],[0.404 0.055 0.894 0.93  0.913],[0.433 0.06  0.93  0.962 0.946],[0.458 0.064 0.962 0.991 0.977],[0.483 0.062 0.991 1.019 1.005],[0.518 0.066 1.019 1.053 1.036],[0.556 0.075 1.053 1.092 1.071],[0.606 0.078 1.092 1.144 1.117],[0.672 0.083 1.144 1.218 1.178],[0.804 0.112 1.218 1.732 1.32 ]
19.2980,[0.301 0.054 0.613 0.787 0.738],[0.381 0.058 0.787 0.846 0.819],[0.424 0.062 0.846 0.89  0.869],[0.466 0.067 0.89  0.927 0.909],[0.499 0.067 0.927 0.96  0.944],[0.528 0.073 0.96  0.99  0.975],[0.561 0.072 0.99  1.02  1.005],[0.601 0.076 1.02  1.055 1.037],[0.648 0.087 1.055 1.095 1.073],[0.702 0.088 1.095 1.149 1.121],[0.778 0.095 1.149 1.227 1.185],[0.926 0.131 1.227 1.769 1.334]
18.5400,[0.335 0.063 0.602 0.78  0.73 ],[0.432 0.065 0.78  0.84  0.812],[0.485 0.072 0.84  0.886 0.864],[0.532 0.076 0.886 0.924 0.906],[0.571 0.078 0.924 0.959 0.942],[0.604 0.079 0.959 0.989 0.974],[0.644 0.079 0.989 1.02  1.005],[0.688 0.081 1.02  1.056 1.038],[0.736 0.092 1.056 1.099 1.075],[0.798 0.089 1.099 1.154 1.125],[0.881 0.094 1.154 1.236 1.191],[1.029 0.118 1.236 1.805 1.347]
17.8480,[0.372 0.071 0.592 0.773 0.722],[0.487 0.076 0.773 0.835 0.806],[0.547 0.082 0.835 0.881 0.859],[0.602 0.083 0.881 0.921 0.902],[0.649 0.088 0.921 0.957 0.939],[0.684 0.084 0.957 0.988 0.973],[0.728 0.088 0.988 1.021 1.005],[0.779 0.088 1.021 1.058 1.039],[0.835 0.105 1.058 1.101 1.078],[0.9   0.101 1.101 1.159 1.129],[0.989 0.101 1.159 1.244 1.198],[1.145 0.131 1.244 1.839 1.359]
17.2150,[0.413 0.081 0.583 0.766 0.715],[0.546 0.087 0.766 0.83  0.8  ],[0.614 0.088 0.83  0.877 0.855],[0.675 0.091 0.877 0.918 0.899],[0.728 0.099 0.918 0.956 0.937],[0.766 0.091 0.956 0.988 0.972],[0.816 0.093 0.988 1.022 1.005],[0.871 0.093 1.022 1.059 1.04 ],[0.929 0.105 1.059 1.104 1.08 ],[0.997 0.098 1.104 1.163 1.133],[1.088 0.1   1.163 1.251 1.204],[1.247 0.123 1.251 1.869 1.371]
16.6330,[0.456 0.092 0.572 0.76  0.707],[0.609 0.095 0.76  0.826 0.795],[0.683 0.095 0.826 0.874 0.851],[0.749 0.095 0.874 0.916 0.895],[0.808 0.101 0.916 0.954 0.935],[0.85  0.095 0.954 0.987 0.971],[0.904 0.097 0.987 1.022 1.005],[0.96  0.096 1.022 1.061 1.041],[1.022 0.109 1.061 1.107 1.082],[1.094 0.105 1.107 1.167 1.137],[1.189 0.106 1.167 1.258 1.209],[1.351 0.125 1.258 1.897 1.382]
16.0950,[0.502 0.1   0.562 0.755 0.701],[0.672 0.103 0.755 0.821 0.789],[0.752 0.099 0.821 0.87  0.846],[0.826 0.102 0.87  0.913 0.892],[0.888 0.107 0.913 0.953 0.933],[0.936 0.103 0.953 0.987 0.97 ],[0.989 0.104 0.987 1.022 1.005],[1.046 0.097 1.022 1.063 1.041],[1.107 0.108 1.063 1.11  1.084],[1.184 0.1   1.11  1.172 1.14 ],[1.275 0.103 1.172 1.265 1.215],[1.435 0.127 1.265 1.921 1.393]
15.5960,[0.548 0.111 0.552 0.749 0.694],[0.734 0.11  0.749 0.816 0.784],[0.821 0.103 0.816 0.866 0.843],[0.898 0.102 0.866 0.91  0.889],[0.963 0.105 0.91  0.951 0.931],[1.017 0.102 0.951 0.987 0.969],[1.066 0.101 0.987 1.023 1.005],[1.127 0.099 1.023 1.063 1.042],[1.19  0.112 1.063 1.112 1.086],[1.267 0.105 1.112 1.176 1.143],[1.36  0.105 1.176 1.272 1.22 ],[1.522 0.133 1.272 1.943 1.403]
15.1320,[0.601 0.124 0.543 0.744 0.688],[0.8   0.115 0.744 0.812 0.779],[0.894 0.11  0.812 0.863 0.839],[0.972 0.104 0.863 0.908 0.886],[1.04  0.107 0.908 0.949 0.929],[1.094 0.104 0.949 0.986 0.968],[1.148 0.104 0.986 1.023 1.005],[1.212 0.106 1.023 1.065 1.043],[1.277 0.125 1.065 1.115 1.087],[1.355 0.113 1.115 1.18  1.147],[1.449 0.112 1.18  1.277 1.225],[1.61  0.139 1.277 1.969 1.413]
14.6990,[0.65  0.133 0.534 0.739 0.682],[0.869 0.131 0.739 0.807 0.774],[0.967 0.113 0.807 0.86  0.835],[1.048 0.108 0.86  0.906 0.884],[1.121 0.113 0.906 0.948 0.928],[1.174 0.107 0.948 0.986 0.967],[1.234 0.109 0.986 1.024 1.005],[1.295 0.105 1.024 1.066 1.044],[1.36  0.13  1.066 1.117 1.089],[1.438 0.114 1.117 1.185 1.15 ],[1.534 0.12  1.185 1.283 1.23 ],[1.707 0.157 1.283 2.    1.422]
14.2940,[0.702 0.139 0.526 0.734 0.677],[0.931 0.13  0.734 0.803 0.77 ],[1.035 0.114 0.803 0.857 0.832],[1.117 0.109 0.857 0.904 0.881],[1.194 0.114 0.904 0.947 0.926],[1.246 0.104 0.947 0.986 0.966],[1.307 0.112 0.986 1.024 1.004],[1.372 0.107 1.024 1.067 1.045],[1.429 0.115 1.067 1.119 1.091],[1.512 0.115 1.119 1.188 1.153],[1.604 0.113 1.188 1.289 1.235],[1.763 0.143 1.289 2.023 1.431]
13.9140,[0.755 0.146 0.518 0.729 0.671],[0.99  0.127 0.729 0.799 0.766],[1.101 0.112 0.799 0.854 0.828],[1.186 0.111 0.854 0.902 0.879],[1.263 0.111 0.902 0.945 0.924],[1.314 0.107 0.945 0.986 0.966],[1.372 0.11  0.986 1.024 1.004],[1.438 0.107 1.024 1.069 1.046],[1.494 0.113 1.069 1.121 1.092],[1.576 0.128 1.121 1.192 1.155],[1.667 0.132 1.192 1.295 1.239],[1.845 0.19  1.295 2.052 1.44 ]
13.5570,[0.81  0.155 0.511 0.724 0.666],[1.06  0.141 0.724 0.796 0.761],[1.17  0.116 0.796 0.851 0.825],[1.26  0.125 0.851 0.9   0.876],[1.341 0.126 0.9   0.944 0.923],[1.386 0.104 0.944 0.985 0.965],[1.456 0.122 0.985 1.025 1.004],[1.521 0.119 1.025 1.069 1.046],[1.576 0.124 1.069 1.124 1.094],[1.659 0.124 1.124 1.195 1.158],[1.756 0.128 1.195 1.302 1.243],[1.919 0.162 1.302 2.069 1.448]
13.2210,[0.863 0.162 0.503 0.721 0.661],[1.125 0.144 0.721 0.792 0.757],[1.237 0.121 0.792 0.848 0.822],[1.326 0.125 0.848 0.899 0.874],[1.41  0.125 0.899 0.943 0.921],[1.458 0.107 0.943 0.985 0.964],[1.524 0.122 0.985 1.025 1.004],[1.589 0.118 1.025 1.07  1.047],[1.65  0.138 1.07  1.125 1.095],[1.726 0.135 1.125 1.198 1.161],[1.827 0.143 1.198 1.308 1.247],[2.002 0.18  1.308 2.093 1.456]
12.9030,[0.914 0.162 0.497 0.716 0.656],[1.178 0.137 0.716 0.789 0.753],[1.299 0.127 0.789 0.845 0.819],[1.385 0.116 0.845 0.897 0.871],[1.472 0.12  0.897 0.941 0.919],[1.519 0.111 0.941 0.985 0.963],[1.588 0.12  0.985 1.026 1.005],[1.651 0.118 1.026 1.072 1.048],[1.707 0.137 1.072 1.127 1.097],[1.79  0.137 1.127 1.201 1.163],[1.884 0.141 1.201 1.313 1.251],[2.066 0.196 1.313 2.111 1.463]
12.6030,[0.962 0.165 0.49  0.712 0.652],[1.23  0.132 0.712 0.786 0.75 ],[1.352 0.123 0.786 0.842 0.816],[1.438 0.114 0.842 0.895 0.869],[1.526 0.12  0.895 0.94  0.918],[1.573 0.106 0.94  0.984 0.963],[1.64  0.119 0.984 1.026 1.005],[1.705 0.116 1.026 1.072 1.048],[1.763 0.135 1.072 1.129 1.098],[1.844 0.137 1.129 1.203 1.166],[1.945 0.151 1.203 1.319 1.255],[2.126 0.204 1.319 2.138 1.471]
12.3180,[1.01  0.17  0.484 0.708 0.647],[1.288 0.144 0.708 0.782 0.746],[1.408 0.126 0.782 0.84  0.813],[1.496 0.121 0.84  0.893 0.867],[1.581 0.122 0.893 0.939 0.916],[1.626 0.109 0.939 0.983 0.962],[1.693 0.122 0.983 1.026 1.005],[1.755 0.117 1.026 1.073 1.049],[1.81  0.133 1.073 1.131 1.1  ],[1.891 0.132 1.131 1.206 1.168],[1.987 0.148 1.206 1.323 1.258],[2.176 0.205 1.323 2.164 1.478]
12.0480,[1.062 0.177 0.478 0.704 0.643],[1.348 0.134 0.704 0.779 0.742],[1.471 0.126 0.779 0.838 0.81 ],[1.559 0.12  0.838 0.892 0.865],[1.647 0.121 0.892 0.938 0.915],[1.691 0.113 0.938 0.983 0.961],[1.762 0.133 0.983 1.026 1.005],[1.824 0.132 1.026 1.073 1.049],[1.883 0.152 1.073 1.132 1.101],[1.967 0.153 1.132 1.209 1.17 ],[2.055 0.16  1.209 1.328 1.262],[2.243 0.193 1.328 2.183 1.485]
11.7910,[1.113 0.182 0.472 0.7   0.639],[1.398 0.149 0.7   0.775 0.739],[1.517 0.126 0.775 0.836 0.808],[1.608 0.12  0.836 0.889 0.863],[1.69  0.131 0.889 0.938 0.914],[1.741 0.118 0.938 0.982 0.961],[1.806 0.134 0.982 1.027 1.005],[1.876 0.144 1.027 1.074 1.05 ],[1.932 0.16  1.074 1.135 1.102],[2.015 0.161 1.135 1.212 1.172],[2.116 0.166 1.212 1.333 1.266],[2.307 0.212 1.333 2.196 1.492]
11.5460,[1.154 0.184 0.466 0.697 0.635],[1.447 0.161 0.697 0.772 0.736],[1.57  0.134 0.772 0.833 0.805],[1.663 0.138 0.833 0.888 0.861],[1.742 0.135 0.888 0.936 0.912],[1.791 0.121 0.936 0.982 0.96 ],[1.863 0.15  0.982 1.027 1.004],[1.921 0.145 1.027 1.075 1.05 ],[1.984 0.175 1.075 1.136 1.104],[2.063 0.162 1.136 1.215 1.174],[2.17  0.182 1.215 1.336 1.269],[2.377 0.231 1.336 2.226 1.499]
11.3130,[1.208 0.196 0.461 0.693 0.631],[1.499 0.166 0.693 0.769 0.732],[1.622 0.133 0.769 0.831 0.802],[1.719 0.143 0.831 0.886 0.859],[1.795 0.134 0.886 0.936 0.911],[1.85  0.129 0.936 0.982 0.959],[1.91  0.141 0.982 1.027 1.004],[1.981 0.149 1.027 1.076 1.051],[2.039 0.171 1.076 1.137 1.105],[2.121 0.167 1.137 1.217 1.176],[2.229 0.194 1.217 1.341 1.272],[2.433 0.233 1.341 2.23  1.506]
11.0900,[1.251 0.194 0.456 0.689 0.627],[1.532 0.15  0.689 0.766 0.729],[1.665 0.131 0.766 0.829 0.8  ],[1.763 0.145 0.829 0.885 0.857],[1.836 0.129 0.885 0.935 0.91 ],[1.894 0.129 0.935 0.981 0.959],[1.962 0.155 0.981 1.027 1.004],[2.02  0.147 1.027 1.077 1.051],[2.084 0.175 1.077 1.139 1.106],[2.155 0.165 1.139 1.219 1.178],[2.261 0.194 1.219 1.346 1.275],[2.46  0.22  1.346 2.257 1.513]
10.8770,[1.295 0.212 0.451 0.685 0.623],[1.598 0.229 0.685 0.763 0.726],[1.702 0.125 0.763 0.827 0.797],[1.8   0.134 0.827 0.883 0.855],[1.873 0.127 0.883 0.934 0.908],[1.928 0.133 0.934 0.981 0.958],[1.998 0.146 0.981 1.027 1.004],[2.051 0.144 1.027 1.078 1.052],[2.113 0.163 1.078 1.141 1.107],[2.198 0.173 1.141 1.221 1.18 ],[2.308 0.19  1.221 1.351 1.278],[2.495 0.225 1.351 2.275 1.519]
10.6730,[1.341 0.201 0.446 0.681 0.619],[1.63  0.149 0.681 0.76  0.723],[1.753 0.126 0.76  0.825 0.795],[1.854 0.155 0.825 0.882 0.853],[1.932 0.146 0.882 0.933 0.907],[1.979 0.125 0.933 0.981 0.957],[2.058 0.161 0.981 1.027 1.004],[2.105 0.153 1.027 1.078 1.052],[2.175 0.184 1.078 1.143 1.108],[2.264 0.191 1.143 1.223 1.182],[2.388 0.216 1.223 1.356 1.282],[2.602 0.242 1.356 2.302 1.527]
10.4780,[1.38  0.196 0.441 0.678 0.616],[1.67  0.155 0.678 0.757 0.72 ],[1.797 0.124 0.757 0.822 0.792],[1.893 0.13  0.822 0.88  0.851],[1.968 0.131 0.88  0.932 0.906],[2.025 0.128 0.932 0.98  0.957],[2.093 0.149 0.98  1.028 1.004],[2.149 0.167 1.028 1.079 1.052],[2.218 0.191 1.079 1.144 1.109],[2.304 0.206 1.144 1.225 1.184],[2.399 0.207 1.225 1.359 1.284],[2.636 0.267 1.359 2.315 1.533]
