,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11
8.7620,"[1.7700727693627405, 0.20161764789361802, 0.39768269952135193, 0.6451231902086334, 0.5810014998591315]","[2.052849212077363, 0.1603229598727341, 0.6451231902086334, 0.7288787812403239, 0.6895797554759338]","[2.1777556827439, 0.15709688230696256, 0.7288787812403239, 0.7989559153172108, 0.7666442336065954]","[2.2711828576884776, 0.1743324343236133, 0.7989559153172108, 0.862427183057148, 0.8313857014215659]","[2.3559710690770572, 0.1742900163542151, 0.862427183057148, 0.9196521780786975, 0.8911670226305867]","[2.4303555011594056, 0.20579685327409883, 0.9196521780786975, 0.9751321365586817, 0.9482442373872141]","[2.497798063479027, 0.19515743240547925, 0.9751321365586817, 1.0281362446764672, 1.0014082869131218]","[2.556868882023647, 0.20167005904018975, 1.0281362446764672, 1.085091992500941, 1.0553233184895319]","[2.632885432228801, 0.24808678570350257, 1.085091992500941, 1.155391386642297, 1.119000855904737]","[2.7477578574878865, 0.251726598443923, 1.155391386642297, 1.2480401339172618, 1.2014884752106203]","[2.889764048307256, 0.28315376738027626, 1.2480401339172618, 1.3961954147202338, 1.3150969071077463]","[3.166448077101073, 0.3127549608783183, 1.3961954147202338, 2.6085486684414834, 1.606174581694127]"
8.6360,"[1.8106450217073384, 0.22303165049366144, 0.39455648078719235, 0.6426784359638853, 0.57810433295433]","[2.100010109305797, 0.17292839714968067, 0.6426784359638853, 0.727375937838466, 0.6870153011722755]","[2.2304236308482603, 0.16523830729393885, 0.727375937838466, 0.7971441475810236, 0.7644367053527609]","[2.3169843558874086, 0.18988517650443057, 0.7971441475810236, 0.8609517169405089, 0.8296874495912542]","[2.4090814077624727, 0.1920580351212319, 0.8609517169405089, 0.9183772050988595, 0.8899392467211462]","[2.4645140604775015, 0.19389400613411167, 0.9183772050988595, 0.974623044845232, 0.9473524255899494]","[2.547391761188022, 0.2072816372159787, 0.974623044845232, 1.0278859553345523, 1.0011704323820285]","[2.594691899898326, 0.19870233944513516, 1.0278859553345523, 1.0861440642663265, 1.0555492469411156]","[2.680801643884372, 0.2623718305433857, 1.0861440642663265, 1.1574353105226463, 1.1198208987025733]","[2.787683797372889, 0.24336031639445174, 1.1574353105226463, 1.2497472933685887, 1.2029198119585576]","[2.946499087301709, 0.28995761673789505, 1.2497472933685887, 1.3996843688473193, 1.3181516368366646]","[3.2148551657866427, 0.3138865955457123, 1.3996843688473193, 2.6843616559453807, 1.6125308922352168]"
8.5150,"[1.8398880106554638, 0.2149939895217416, 0.39160150458634874, 0.6403528298981545, 0.5752618202207057]","[2.1280322183704015, 0.17492685714657427, 0.6403528298981545, 0.7249761773828116, 0.6844860730638672]","[2.2652883979110734, 0.18713799568013811, 0.7249761773828116, 0.7952087283605728, 0.7621808709651936]","[2.346888687264149, 0.19144622580160345, 0.7952087283605728, 0.8594031807483338, 0.8279050132417131]","[2.4364843940641436, 0.18655016240554737, 0.8594031807483338, 0.9176324321946283, 0.8885407874710128]","[2.501411669522984, 0.22105741238176366, 0.9176324321946283, 0.9734106156925717, 0.946560387817127]","[2.587218307519714, 0.23319227739735177, 0.9734106156925717, 1.0276124150370647, 1.0008687044386309]","[2.6477717843316686, 0.21953297734134405, 1.0276124150370647, 1.0855435648137965, 1.0558064652478485]","[2.7259494099163755, 0.27265149591061205, 1.0855435648137965, 1.1583874529816767, 1.1206570272770753]","[2.8526899837311723, 0.26810611533981993, 1.1583874529816767, 1.2513926222476408, 1.204852835250577]","[2.9728178625727097, 0.26118078011128343, 1.2513926222476408, 1.403789269923671, 1.3205369843149624]","[3.2458043627118918, 0.3026034538629139, 1.403789269923671, 2.684658234530697, 1.6182556973829634]"
8.3970,"[1.8586259325922654, 0.20376803796881607, 0.388706594072881, 0.6387490418889972, 0.5725615382129233]","[2.154119084890414, 0.1901357236820792, 0.6387490418889972, 0.7236116517952887, 0.6821106576599756]","[2.279477267082037, 0.17902998253869273, 0.7236116517952887, 0.7930765426613575, 0.7599712304248175]","[2.368856065148502, 0.18379860323998679, 0.7930765426613575, 0.8574427952215812, 0.8262646919152299]","[2.4682416809317957, 0.21259364344577994, 0.8574427952215812, 0.916290610949232, 0.8873744463223601]","[2.507725609994161, 0.21112294955447025, 0.916290610949232, 0.9734925197809472, 0.945633084271885]","[2.612872724748504, 0.24758315743688003, 0.9734925197809472, 1.0266607603205145, 1.0005537606091754]","[2.660535318232415, 0.23466259545654514, 1.0266607603205145, 1.085394145742005, 1.0559171264477603]","[2.747277318374791, 0.2589230047727691, 1.085394145742005, 1.1596007865670828, 1.1213752328515865]","[2.8617144134788033, 0.2736629536525867, 1.1596007865670828, 1.253582767855432, 1.2059408689975843]","[2.9939779599442695, 0.28052720342149506, 1.253582767855432, 1.4067841101864957, 1.3228246298391166]","[3.2690105578527167, 0.3304850814582074, 1.4067841101864957, 2.7134010867877056, 1.6252834826440008]"
8.2830,"[1.8918498898865725, 0.2137683024315765, 0.3857114005767365, 0.6361942213858417, 0.5697620037152386]","[2.190480820609221, 0.1761542152544246, 0.6361942213858417, 0.7207104727139698, 0.67962658829502]","[2.3193874673701154, 0.19409516280401728, 0.7207104727139698, 0.7913823472226343, 0.7578045094038607]","[2.4068882376047647, 0.18644193699201453, 0.7913823472226343, 0.8564520565114929, 0.8245136291050911]","[2.5062977330970373, 0.20168978040571886, 0.8564520565114929, 0.9158407654624233, 0.8860647764518529]","[2.56272572523797, 0.2223909994227043, 0.9158407654624233, 0.9732760464808313, 0.9449627532986845]","[2.6570420453943773, 0.24584772548480324, 0.9732760464808313, 1.0267161585861408, 1.0002918971059127]","[2.7174910203503355, 0.24185057964193146, 1.0267161585861408, 1.0859250526047255, 1.0562964423216121]","[2.794338513529868, 0.2662571440275695, 1.0859250526047255, 1.1608714735125076, 1.1221798386885573]","[2.898865775594068, 0.2569046522296651, 1.1608714735125076, 1.2561414992933628, 1.2075737023299709]","[3.0522464331563457, 0.2596047137516689, 1.2561414992933628, 1.4096085836385241, 1.3258478623236942]","[3.310842139361926, 0.29195451470235967, 1.4096085836385241, 2.7618501805014177, 1.6308976044994545]"
8.1720,"[1.9130164957994902, 0.21438987484334465, 0.3827858325841817, 0.6337337283413831, 0.5671906034150261]","[2.2034740488019176, 0.18138733183922573, 0.6337337283413831, 0.7183797327339765, 0.6773291447519485]","[2.34413667998405, 0.19951879157995484, 0.7183797327339765, 0.7901770860307016, 0.7557769822687168]","[2.4419961759162017, 0.19606578970922195, 0.7901770860307016, 0.8544358534608674, 0.823002471830637]","[2.5202607050835026, 0.19635314751808922, 0.8544358534608674, 0.9148229446376253, 0.8848555528385904]","[2.5833011192604505, 0.22595873513499615, 0.9148229446376253, 0.9728290180330651, 0.9443031389017285]","[2.67917769565371, 0.256050364414783, 0.9728290180330651, 1.026743847733624, 1.0000727856877933]","[2.731652122548294, 0.22451889461060412, 1.026743847733624, 1.0866572243777464, 1.0563653231114076]","[2.8133072953569664, 0.2684764852464358, 1.0866572243777464, 1.163342797845679, 1.1227936199863466]","[2.9255748618893693, 0.2639121929033762, 1.163342797845679, 1.257749863970414, 1.2091544994148118]","[3.0762271118899185, 0.2666798383839329, 1.257749863970414, 1.4163202256904397, 1.3281275301934359]","[3.357451481185797, 0.33040943829008745, 1.4163202256904397, 2.7721888233771943, 1.6377874511367778]"
8.0640,"[1.952584081952803, 0.21657355357903152, 0.37982937418684704, 0.6313619649976063, 0.5644424066963911]","[2.24095749289934, 0.17925929189297735, 0.6313619649976063, 0.7166537834312825, 0.6748551398864772]","[2.379212781737438, 0.199153598717246, 0.7166537834312825, 0.7884618522629806, 0.7535408815976622]","[2.4711043901907184, 0.20494878239999742, 0.7884618522629806, 0.8533389663492983, 0.8211477348417988]","[2.5559899873686867, 0.20321411845304674, 0.8533389663492983, 0.9141713478925634, 0.8834916104932782]","[2.630388515938716, 0.2257349699424357, 0.9141713478925634, 0.9721645431545882, 0.9434505805224309]","[2.709560616507146, 0.2376195206295234, 0.9721645431545882, 1.0263165755566757, 0.9997003116474885]","[2.792496670049694, 0.24187507659236987, 1.0263165755566757, 1.087179184924109, 1.0566199356872532]","[2.84932186792011, 0.25248902569083254, 1.087179184924109, 1.1641105132818295, 1.123410788183542]","[2.9934808983731056, 0.2761486517868941, 1.1641105132818295, 1.2583888676719484, 1.2110270724289893]","[3.1149578240484552, 0.25003683369318924, 1.2583888676719484, 1.4198635860204072, 1.3308996245193696]","[3.371126692185562, 0.3023090636036591, 1.4198635860204072, 2.7703201643751627, 1.6431475756287053]"
7.9600,"[1.9797883800663982, 0.21692440577486227, 0.3770702505427551, 0.6288069908522268, 0.5618620026762083]","[2.281971757119905, 0.2193294097635991, 0.6288069908522268, 0.7141066139497658, 0.6725445348906728]","[2.4092584379466944, 0.19756455692538677, 0.7141066139497658, 0.7859194200449056, 0.7514674429505905]","[2.501693056287286, 0.20905579512889708, 0.7859194200449056, 0.8520156171761024, 0.8194898914291122]","[2.6032680370250163, 0.22536165041726786, 0.8520156171761024, 0.9116042997423529, 0.8822889347652212]","[2.6430146350470514, 0.21901275222280683, 0.9116042997423529, 0.9713663633452806, 0.9425024805992431]","[2.741755437148157, 0.2470235130875411, 0.9713663633452806, 1.0259789743733345, 0.9994177461646045]","[2.8074954311925544, 0.23260669128331274, 1.0259789743733345, 1.0881570105745435, 1.0566644346942435]","[2.896381208307042, 0.28094583694233516, 1.0881570105745435, 1.165965016215779, 1.1244271036154243]","[3.0157566181923317, 0.27135132118584177, 1.165965016215779, 1.2596397127743624, 1.2122515579550652]","[3.145744356196389, 0.2437603888277715, 1.2596397127743624, 1.4247330822200968, 1.3334754463392098]","[3.413187982355188, 0.28555452568901557, 1.4247330822200968, 2.8455914829652236, 1.6498872440460324]"
7.8590,"[2.001151201185272, 0.2219638540220808, 0.37430947780281176, 0.6261739516838873, 0.5592593808776113]","[2.3011058090193903, 0.20477238837986134, 0.6261739516838873, 0.7128541039651853, 0.6701428199877643]","[2.414832101361999, 0.18118946233814678, 0.7128541039651853, 0.7837608799121215, 0.7492831663322498]","[2.5100790330411393, 0.20901069137777528, 0.7837608799121215, 0.8502285413178846, 0.8176312940614093]","[2.618681202658556, 0.24057611023062844, 0.8502285413178846, 0.9105170112879046, 0.8808276185536955]","[2.6586172670314663, 0.2204941323624927, 0.9105170112879046, 0.9713414832805872, 0.9415531351728285]","[2.765400279096563, 0.2739226754517866, 0.9713414832805872, 1.0259260911370378, 0.9989215702643132]","[2.840863660887164, 0.27532732225950407, 1.0259260911370378, 1.0882383905794324, 1.0566966054452123]","[2.9060951292939774, 0.3041514920539739, 1.0882383905794324, 1.1668773906143461, 1.1248305689286102]","[3.039730882356538, 0.29400814997352187, 1.1668773906143461, 1.2625219792691436, 1.2135971211785181]","[3.1873827896569398, 0.28324902000769603, 1.2625219792691436, 1.4269816166205145, 1.3360379416562589]","[3.4660862131406045, 0.32416609508722277, 1.4269816166205145, 2.7925170455733657, 1.6569280497593724]"
7.7600,"[2.025977370454073, 0.20574420888668593, 0.3717738752702122, 0.6235587593780196, 0.5567242090848895]","[2.3269459536476877, 0.19621577604442925, 0.6235587593780196, 0.710296036521319, 0.6678409228682644]","[2.4436937416174174, 0.1868641235257905, 0.710296036521319, 0.7818856267676293, 0.74726741350197]","[2.53211399593664, 0.19405668541357154, 0.7818856267676293, 0.8479069566831144, 0.8159585672981025]","[2.644122773501068, 0.21818068986205322, 0.8479069566831144, 0.9088738200459353, 0.8794181988132806]","[2.6908734241781564, 0.21817559982695536, 0.9088738200459353, 0.9705953461593285, 0.9407142457348292]","[2.7822377135037564, 0.24759150577674632, 0.9705953461593285, 1.0259304678359782, 0.9986016708633307]","[2.8615751919487917, 0.251536861982627, 1.0259304678359782, 1.0893886817515777, 1.0567287187634922]","[2.9270460759285837, 0.2631141816281126, 1.0893886817515777, 1.168988178330923, 1.1254206041941013]","[3.0666911022721064, 0.27988947125369956, 1.168988178330923, 1.2643722914058941, 1.2146563199805223]","[3.2168366243712483, 0.2678738670658197, 1.2643722914058941, 1.4316043323278667, 1.338950062306534]","[3.4733030825873104, 0.29541783231369695, 1.4316043323278667, 2.8494644559787417, 1.662884866237381]"
7.6640,"[2.045547589660848, 0.19948596436127508, 0.36927123076778556, 0.621548823738543, 0.5541653521351171]","[2.354747016012252, 0.21214155066645018, 0.621548823738543, 0.7081812694923534, 0.6654702351145062]","[2.487956418902842, 0.2356674838710895, 0.7081812694923534, 0.7804698542354951, 0.7452207199526363]","[2.5731994535445213, 0.21937329708022046, 0.7804698542354951, 0.8462684698629068, 0.8142144739508328]","[2.668498448755064, 0.22427786519830498, 0.8462684698629068, 0.9076071483283185, 0.8779691091182322]","[2.723016198277494, 0.22938862386318018, 0.9076071483283185, 0.9701809446800147, 0.9397407565115017]","[2.8120322351622837, 0.24548309553205114, 0.9701809446800147, 1.0260399956354471, 0.9980303381874733]","[2.894661389972158, 0.254329644407331, 1.0260399956354471, 1.0890897197436764, 1.0567436720140795]","[2.9671080379030346, 0.284219178435219, 1.0890897197436764, 1.1696235789911813, 1.1261218260685817]","[3.1119832349366265, 0.2898148670011958, 1.1696235789911813, 1.2665758167639296, 1.2163459986041167]","[3.244757317258872, 0.28286643371306797, 1.2665758167639296, 1.4356544589255107, 1.3413841095040484]","[3.532075759743891, 0.3191393083749453, 1.4356544589255107, 2.9135108564640184, 1.6695878625651988]"
7.5700,"[2.070973778655635, 0.20047436107314698, 0.3668170724513154, 0.6194066550923671, 0.5517111487173911]","[2.375652724992881, 0.19702647344917537, 0.6194066550923671, 0.7055685224481393, 0.6631507931759065]","[2.502348119357278, 0.20024605540899312, 0.7055685224481393, 0.778710616745122, 0.7431513483741284]","[2.5901196520354763, 0.2189070261852738, 0.778710616745122, 0.8448599226722732, 0.8125234794448453]","[2.7014588944997437, 0.24494543938071697, 0.8448599226722732, 0.9065608046273759, 0.8766568039795637]","[2.7426133089543234, 0.21317138190661808, 0.9065608046273759, 0.9685478573484947, 0.9387838882478524]","[2.8456582859846002, 0.25578962677746403, 0.9685478573484947, 1.025413558894134, 0.9977019014495048]","[2.9218950167763755, 0.26374330559589576, 1.025413558894134, 1.090082443097281, 1.0567506950034575]","[2.995981049189953, 0.2841110426533023, 1.090082443097281, 1.1699210058132175, 1.1268941424461314]","[3.1127221869752417, 0.2893719719709732, 1.1699210058132175, 1.2674763299713856, 1.217398293440876]","[3.2744372651347513, 0.2960841502483562, 1.2674763299713856, 1.4387672945055123, 1.3441896993937432]","[3.5492258500545777, 0.3210983297981353, 1.4387672945055123, 2.872140478492382, 1.6754065532417692]"
7.4800,"[2.0968687389223866, 0.20451385613005377, 0.36453371308144195, 0.6173370395643555, 0.5491512535680456]","[2.396663758988432, 0.20003679631888188, 0.6173370395643555, 0.7033788062819307, 0.6607194083253191]","[2.5331117823890144, 0.20758145227929847, 0.7033788062819307, 0.7769197686538216, 0.7409883134972383]","[2.6201240320591896, 0.2297144857892398, 0.7769197686538216, 0.8434640596535479, 0.8106839154417486]","[2.7248352410964904, 0.24436362499184933, 0.8434640596535479, 0.9056557044195932, 0.8750381625397333]","[2.776231979998728, 0.23672999917623094, 0.9056557044195932, 0.96788643038838, 0.9377628938722997]","[2.882078955884788, 0.2651152173516332, 0.96788643038838, 1.0256112754541327, 0.9970515232221723]","[2.9620719454500164, 0.26598351535487436, 1.0256112754541327, 1.0903841882179808, 1.0567388851635453]","[3.022381407467259, 0.28792875559043996, 1.0903841882179808, 1.1708282997350112, 1.127202543224096]","[3.1645366532813948, 0.30220462582413954, 1.1708282997350112, 1.269984763784122, 1.2189876123736305]","[3.3018506720062604, 0.2924203917351594, 1.269984763784122, 1.4428041144690247, 1.3463458322590465]","[3.5809568938211007, 0.3275132033564386, 1.4428041144690247, 3.111902389333849, 1.6841488624015224]"
7.3910,"[2.11612158903312, 0.2067171999618291, 0.36233258658383943, 0.6149991333158933, 0.5467987216900326]","[2.424932949194912, 0.20942172248678767, 0.6149991333158933, 0.7013651847569004, 0.6585436999184933]","[2.549659443022846, 0.2026393743725302, 0.7013651847569004, 0.7758782254576808, 0.7390135704357863]","[2.6329553002925437, 0.22815723742575064, 0.7758782254576808, 0.8425334822273225, 0.8091152463543566]","[2.7494074392251178, 0.24473644993408, 0.8425334822273225, 0.9043206277108954, 0.8737395729334793]","[2.813599524634177, 0.2626839252411591, 0.9043206277108954, 0.9674583597266986, 0.9370375538891977]","[2.911854167886811, 0.26820224015607474, 0.9674583597266986, 1.0255062260379626, 0.9966723740360871]","[3.0025560207423094, 0.27928826039138077, 1.0255062260379626, 1.0896424912102913, 1.0569164885931444]","[3.059687560891287, 0.28599864473528436, 1.0896424912102913, 1.1707542759531313, 1.1280185523870385]","[3.182118857253891, 0.2821122467043787, 1.1707542759531313, 1.2717163636980358, 1.2197300108762295]","[3.3403080499453703, 0.29058874125875045, 1.2717163636980358, 1.4457741604493517, 1.3486637363024592]","[3.625867342134205, 0.3122137903278222, 1.4457741604493517, 2.909519364622529, 1.6891844703315055]"
7.3050,"[2.130274910103998, 0.19887099744955142, 0.3600948933964169, 0.6123069826846922, 0.5443797623949056]","[2.4244317283774386, 0.18096872567620736, 0.6123069826846922, 0.6987673160394892, 0.6562218481227834]","[2.5787018545031493, 0.2013988980557328, 0.6987673160394892, 0.7732990000380492, 0.7370145797432838]","[2.649631071882007, 0.2160163727294002, 0.7732990000380492, 0.8411496672159409, 0.8073409820967418]","[2.7501320858209914, 0.23565285696340516, 0.8411496672159409, 0.9025741373809866, 0.872134601142001]","[2.836507169189164, 0.26843567021302633, 0.9025741373809866, 0.9662706746121178, 0.9360822708698854]","[2.9347303596587255, 0.28010975783187025, 0.9662706746121178, 1.0252324659093903, 0.9961536396705518]","[3.0220347966986996, 0.2789017172749489, 1.0252324659093903, 1.090404140922488, 1.0569323546709548]","[3.0778708878044108, 0.3045264893552814, 1.090404140922488, 1.172579687440548, 1.1283897698757894]","[3.2250622570132967, 0.3028371520172749, 1.172579687440548, 1.273901018693859, 1.2215949127113683]","[3.394687276847453, 0.2981797198420598, 1.273901018693859, 1.451456643681054, 1.3518738642901609]","[3.662286656068699, 0.29871237441035414, 1.451456643681054, 2.9674597117627606, 1.6959992174569196]"
