,bin0,bin1,bin2,bin3,bin4,bin5
14.2940,"[1.037671893482774, 0.14306253636302427, 0.6824556238223453, 0.872531936292708, 0.7976770758172602]","[1.2743856982449062, 0.07621099663859376, 0.872531936292708, 0.9531990743246617, 0.9157096947693905]","[1.3721996701877088, 0.07864390629085669, 0.9531990743246617, 1.0060399644299631, 0.9814686439126443]","[1.4250570434161145, 0.07253174603795245, 1.0060399644299631, 1.053995516608992, 1.0282290762027297]","[1.5135745159074039, 0.08125574012441088, 1.053995516608992, 1.125216578433331, 1.0849997399231757]","[1.6591564067021825, 0.10864886041218587, 1.125216578433331, 1.7539042775712081, 1.2173897259681576]"
13.9140,"[1.0984892980194814, 0.14617919890808911, 0.6775751444472682, 0.8702346429853208, 0.7940686010200354]","[1.3415893890086654, 0.07648335714709754, 0.8702346429853208, 0.952313791671255, 0.9139536429104294]","[1.4373728615410573, 0.07919675304100258, 0.952313791671255, 1.0057684844417638, 0.9810060317168127]","[1.4962969725223703, 0.09383568608874887, 1.0057684844417638, 1.0551266596616884, 1.0287349498367395]","[1.5909838711316162, 0.11871196968307607, 1.0551266596616884, 1.1267052335101768, 1.086573432655215]","[1.7472725567158351, 0.15451128124009297, 1.1267052335101768, 1.7695037261045936, 1.2215504986870938]"
13.5570,"[1.1717377031974636, 0.15538453646028286, 0.6728769382953412, 0.8680909502234125, 0.7905636060236375]","[1.4218204179060039, 0.0830855386200083, 0.8680909502234125, 0.9516945701112905, 0.9122408328829981]","[1.5222455890211655, 0.08268605531113961, 0.9516945701112905, 1.0059788277180348, 0.9806043973438782]","[1.5787118818292174, 0.07517197892810631, 1.0059788277180348, 1.0564372305177285, 1.0292547260609346]","[1.6713526065728441, 0.08769645675936441, 1.0564372305177285, 1.1289849403242886, 1.088121478099943]","[1.8104297293835117, 0.11172124730847918, 1.1289849403242886, 1.7828824755563615, 1.225492835818057]"
13.2210,"[1.2421025186159138, 0.16128615275462743, 0.6683467382202306, 0.8659579748281758, 0.7871753863842852]","[1.496542954301178, 0.08565328999634916, 0.8659579748281758, 0.9512871314878211, 0.910584554165704]","[1.594815173198984, 0.0838438652154025, 0.9512871314878211, 1.005528242816739, 0.9801593387954823]","[1.652863316656222, 0.08205552391365602, 1.005528242816739, 1.0573339388467315, 1.0297176697748234]","[1.7481704018984172, 0.10198701208899649, 1.0573339388467315, 1.1300723764494396, 1.0895828344564713]","[1.8940593314995207, 0.12345151884177898, 1.1300723764494396, 1.7980353729977199, 1.2294372574218984]"
12.9030,"[1.2963732186583845, 0.16007821430649707, 0.6640196166927321, 0.8640694875635282, 0.7839212894460803]","[1.5575436119700126, 0.08728669772588717, 0.8640694875635282, 0.9504732831411542, 0.908988495122687]","[1.660305705020348, 0.0889420196475418, 0.9504732831411542, 1.005391527180033, 0.9797540294275567]","[1.717170301317889, 0.08651745598133063, 1.005391527180033, 1.0578649957542368, 1.0301863457518325]","[1.8168624102448712, 0.10521398766580768, 1.0578649957542368, 1.1318616865503448, 1.0909909186885853]","[1.960428403853224, 0.12873078126448745, 1.1318616865503448, 1.8088953132409409, 1.233129826089123]"
12.6030,"[1.3487877120990721, 0.15723621107684574, 0.6595961906990025, 0.8620457888753509, 0.7807995384127765]","[1.6098234910308782, 0.08657489356271444, 0.8620457888753509, 0.9496928715027712, 0.90744099634171]","[1.7166925208566723, 0.09380740377634338, 0.9496928715027712, 1.0053260290275052, 0.979351501057188]","[1.7744862495751523, 0.08871881384513865, 1.0053260290275052, 1.0589433102051067, 1.0306417336833364]","[1.8675848739617302, 0.09790440315775072, 1.0589433102051067, 1.134515204224518, 1.0923203534982096]","[2.023406552346425, 0.1377801809803476, 1.134515204224518, 1.8233366869835284, 1.2368649927250204]"
12.3180,"[1.4112675639724404, 0.16468731178124277, 0.655334525953874, 0.8590080984548649, 0.7778109275765218]","[1.6632945827114236, 0.08411082972910805, 0.8590080984548649, 0.9486918212383674, 0.9059708389900654]","[1.7622012191635128, 0.0895399365849027, 0.9486918212383674, 1.005712583926734, 0.9789498598023837]","[1.8201333823021932, 0.08364941496406655, 1.005712583926734, 1.059319056118205, 1.0310486206619878]","[1.9177988076822547, 0.10163092048434537, 1.059319056118205, 1.1369066490306705, 1.0936198587852073]","[2.075056620321204, 0.14804922125936515, 1.1369066490306705, 1.8377193699513024, 1.240348289013993]"
12.0480,"[1.4743902354386096, 0.16831633540335292, 0.6511184664675085, 0.8572272431921555, 0.7747969961894152]","[1.7354367920880287, 0.0918469078740944, 0.8572272431921555, 0.9482058672643223, 0.904477091860892]","[1.8421025441575298, 0.09626535462044372, 0.9482058672643223, 1.005772158773211, 0.9785699241142441]","[1.8959465365865031, 0.08413866724965714, 1.005772158773211, 1.060473749871582, 1.0314533325300637]","[1.9914506101200913, 0.10619697601533512, 1.060473749871582, 1.1394714144964946, 1.094925779743404]","[2.153514455163887, 0.14509816253608185, 1.1394714144964946, 1.8519456062826343, 1.2439528317998554]"
11.7910,"[1.526167982921311, 0.1677375862474494, 0.6471055818127263, 0.8558912284595869, 0.7719557922475648]","[1.7848036217263095, 0.09421020900645123, 0.8558912284595869, 0.9474839048864672, 0.9030505339069327]","[1.892975299939646, 0.0999026134888434, 0.9474839048864672, 1.0059699861986988, 0.9781826097808018]","[1.9492503517845092, 0.10508946091130739, 1.0059699861986988, 1.0613422011162188, 1.0318634015600563]","[2.053577986586832, 0.11973724866458876, 1.0613422011162188, 1.14156403011214, 1.0962206778843309]","[2.2081638010001092, 0.1433203128201636, 1.14156403011214, 1.8611825949073935, 1.2470872177606658]"
11.5460,"[1.5793295998077583, 0.17663336776483277, 0.6431637054349092, 0.85446522305496, 0.7691579828827636]","[1.8384023758108152, 0.0948577416754845, 0.85446522305496, 0.9466522380098401, 0.9016159912650237]","[1.9461403350895634, 0.10389583616132257, 0.9466522380098401, 1.0061154903180591, 0.9777633923181718]","[2.003652864247776, 0.10366744210710149, 1.0061154903180591, 1.0621359247444142, 1.0322091372163782]","[2.112818798486124, 0.1215379285256991, 1.0621359247444142, 1.1433081439710278, 1.0973741939059474]","[2.2801410257434473, 0.16154415881842546, 1.1433081439710278, 1.8766313369040253, 1.2504894396572266]"
11.3130,"[1.6283998806996107, 0.17359643533330754, 0.6393401273328199, 0.8526570243127044, 0.7664132290172795]","[1.8948119789039604, 0.10628082032041142, 0.8526570243127044, 0.9460454843695134, 0.9002576589243848]","[2.0082058074707723, 0.11335251090677016, 0.9460454843695134, 1.0060712955032236, 0.9773830820405153]","[2.059924052388267, 0.11196154186578465, 1.0060712955032236, 1.0629931519259028, 1.0325904510249857]","[2.16525853999028, 0.12197819164156896, 1.0629931519259028, 1.1439407652690998, 1.0985162596769005]","[2.3318343368206533, 0.17038865991920574, 1.1439407652690998, 1.890670283761993, 1.253728731320666]"
11.0900,"[1.6712948470621385, 0.1725654631546277, 0.6356704176027322, 0.8509107608680238, 0.7637996600004427]","[1.9372793352160498, 0.1020522561579213, 0.8509107608680238, 0.945528283014508, 0.8989447205860586]","[2.050360247874995, 0.11246254480712974, 0.945528283014508, 1.0059116242868453, 0.9769949026219883]","[2.0921336839403097, 0.1050841455232931, 1.0059116242868453, 1.0639331188272854, 1.0328915642647751]","[2.198575032671313, 0.11586236705007608, 1.0639331188272854, 1.14459662490834, 1.0996030058107054]","[2.3770876092074014, 0.16081266621326973, 1.14459662490834, 1.900852991057984, 1.2567938801541307]"
10.8770,"[1.7210649143350607, 0.17650558959730422, 0.6321276525220586, 0.8489310226662268, 0.7612517348330072]","[1.9734180275566144, 0.1005552600693993, 0.8489310226662268, 0.9438997621667518, 0.8976475510430413]","[2.0831495930488977, 0.11161356406388948, 0.9438997621667518, 1.0058463085290013, 0.9765843604844954]","[2.1404951754630113, 0.11611691892081233, 1.0058463085290013, 1.0646704041658568, 1.0333131716519954]","[2.236910545199609, 0.10870630394342799, 1.0646704041658568, 1.1454255644877647, 1.1006584098288779]","[2.4091938922393017, 0.15049587455503935, 1.1454255644877647, 1.9132107019772118, 1.2597895817754146]"
10.6730,"[1.7699106697357094, 0.17663221934258377, 0.6284261216081749, 0.8468294102416252, 0.7585605635662831]","[2.043627549701118, 0.11677710106489526, 0.8468294102416252, 0.9427974205690209, 0.8962556340242224]","[2.157017287907311, 0.12278104552504744, 0.9427974205690209, 1.0056293240008853, 0.9761230613209879]","[2.214736229766869, 0.11909480793273891, 1.0056293240008853, 1.0655556398858048, 1.0336326175253188]","[2.3211378682134205, 0.13244223502295155, 1.0655556398858048, 1.148108060184484, 1.1018771888271468]","[2.516806986127652, 0.17028943785989753, 1.148108060184484, 1.9252383794129115, 1.2633027503340657]"
10.4780,"[1.8047728263498264, 0.17437666192272683, 0.6249198775795965, 0.8448576379695654, 0.7560602142999021]","[2.0814444627087534, 0.11212234888758775, 0.8448576379695654, 0.9421847397041689, 0.8949560424961991]","[2.186499467060337, 0.11363402553546888, 0.9421847397041689, 1.005591658322029, 0.9756568508349922]","[2.251379874574529, 0.12515567918058332, 1.005591658322029, 1.0656569592003031, 1.0339266184722706]","[2.3618637462662315, 0.16598775124834858, 1.0656569592003031, 1.1500062716406352, 1.102980199058721]","[2.5614236149693337, 0.19800186385642737, 1.1500062716406352, 1.9366689812909672, 1.2664454475512676]"
10.2900,"[1.8596692970761979, 0.18433825944650808, 0.6214364075629701, 0.8435787324571793, 0.7535458268809869]","[2.1378106326758197, 0.11509644868455235, 0.8435787324571793, 0.9411644847047723, 0.8936571721881417]","[2.249137366971915, 0.12667020534315993, 0.9411644847047723, 1.005400274344991, 0.9752314755641202]","[2.3052183891428433, 0.13890711961983804, 1.005400274344991, 1.0669177143348765, 1.0341933539087667]","[2.419688786825265, 0.15989397451396042, 1.0669177143348765, 1.1515346611342427, 1.104017189087736]","[2.644582187975885, 0.21715650912171935, 1.1515346611342427, 1.9568329625058747, 1.2698989788081974]"
10.1100,"[1.9039530096916522, 0.18319477935607634, 0.6181113206195136, 0.8417991452792132, 0.7511971453524584]","[2.182991567431793, 0.11929897552896317, 0.8417991452792132, 0.9408658553080417, 0.892487540219414]","[2.2882580938500885, 0.13633955163922354, 0.9408658553080417, 1.005346944642434, 0.9748936370874688]","[2.352728786914593, 0.1290685433735542, 1.005346944642434, 1.0670527990854937, 1.0345533986609645]","[2.4522926458877965, 0.1365722285954462, 1.0670527990854937, 1.15379419622622, 1.1049387154731818]","[2.6458647666941633, 0.19791243730251976, 1.15379419622622, 1.9637218133581182, 1.2722508840835285]"
