,bin0,bin1,bin2,bin3,bin4,bin5
8.5150,"[2.289640857400929, 0.19888265976622682, 0.585151756450584, 0.8206555069180177, 0.7262781077814222]","[2.6007488262818983, 0.15515198753054085, 0.8206555069180177, 0.9255786718286003, 0.8786326005969447]","[2.7290179333791866, 0.14606192478344096, 0.9255786718286003, 1.0066391852356966, 0.9699311303040871]","[2.8142492513608506, 0.15808034044454133, 1.0066391852356966, 1.0735821033413255, 1.0368788992618785]","[2.9490221052281753, 0.168471576700854, 1.0735821033413255, 1.168662457930974, 1.1159372793325644]","[3.1797371162022716, 0.24053075736095514, 1.168662457930974, 2.111874881766789, 1.3052760307076399]"
8.3970,"[2.318940142529842, 0.2223870866180259, 0.582594576515599, 0.8189060939524024, 0.7242509429089408]","[2.614437475528657, 0.17808423365698464, 0.8189060939524024, 0.9249854600226335, 0.8774212771247508]","[2.755073640917093, 0.1912207743246713, 0.9249854600226335, 1.006333134699039, 0.9695120593520771]","[2.8224054281740063, 0.17211204192995164, 1.006333134699039, 1.074272950362058, 1.0368309643857658]","[2.9536150487828388, 0.17322373403050217, 1.074272950362058, 1.1697703385521263, 1.1164234475762562]","[3.1790413183101456, 0.25588379620554375, 1.1697703385521263, 2.12704518787452, 1.3078788236034757]"
8.2830,"[2.352024765145371, 0.20828950858833337, 0.579854571351761, 0.8168658434449706, 0.7220949598463037]","[2.6565254869222468, 0.1683208213956129, 0.8168658434449706, 0.9245282183219015, 0.8762743686316617]","[2.8050038025742525, 0.1696086466140161, 0.9245282183219015, 1.0074164358820255, 0.9691523969451732]","[2.8869055361812364, 0.15784617849503382, 1.0074164358820255, 1.0749896473545724, 1.0372194866907363]","[2.993496225168777, 0.16422032139132234, 1.0749896473545724, 1.1709617485806356, 1.1175379320674348]","[3.232316787466975, 0.23040310606839565, 1.1709617485806356, 2.1396439221445633, 1.3108509687640202]"
8.1720,"[2.3759870562146705, 0.21563018166025286, 0.5773982342688595, 0.8159983949353348, 0.7201676451302862]","[2.6991763993294513, 0.16550301678735976, 0.8159983949353348, 0.9246673886613062, 0.8752893976332717]","[2.827694991037848, 0.14790124081934147, 0.9246673886613062, 1.0072670600568512, 0.9686506344661856]","[2.899350409026366, 0.15695114319619874, 1.0072670600568512, 1.074772847703489, 1.0372866975060484]","[3.0336744702263947, 0.19507453933419122, 1.074772847703489, 1.1726425901633253, 1.118551484982318]","[3.2880256655762925, 0.25959350561662475, 1.1726425901633253, 2.151485000388021, 1.3142938159052344]"
8.0640,"[2.4067240009414936, 0.20130859776344884, 0.5747047682297186, 0.8139318704077002, 0.7180134050816509]","[2.733707460612368, 0.17721279291702308, 0.8139318704077002, 0.923152132537328, 0.8741048551868614]","[2.8833757103646573, 0.15981900730945686, 0.923152132537328, 1.0064105279142364, 0.9683442586742919]","[2.95608182622223, 0.1540710449978909, 1.0064105279142364, 1.0758347449311105, 1.0376400114583026]","[3.0700609894863735, 0.17189129290426086, 1.0758347449311105, 1.177355382822018, 1.119474326809041]","[3.291006142960323, 0.21300704011920465, 1.177355382822018, 2.158519524989806, 1.3162411766630853]"
7.9600,"[2.4480306237576, 0.2157937357068484, 0.5721456565321663, 0.8128690777247147, 0.7160516862905077]","[2.7640541129132274, 0.17022411101957113, 0.8128690777247147, 0.9231115937787878, 0.8729357519715647]","[2.9053115870499258, 0.1551235399933878, 0.9231115937787878, 1.0065258546642855, 0.9678612103060834]","[2.9846164738628045, 0.13791653932739412, 1.0065258546642855, 1.0760700799350993, 1.0378222698826562]","[3.114525829719375, 0.15018768284444653, 1.0760700799350993, 1.1781701286660853, 1.1205433410111005]","[3.3223295361583056, 0.23192172451325366, 1.1781701286660853, 2.1829996583373688, 1.318976852200181]"
7.8590,"[2.474985467845904, 0.22830728875143194, 0.569662402195562, 0.8113764724012361, 0.714041962189403]","[2.8130709816394615, 0.19998364494553156, 0.8113764724012361, 0.9222561915548447, 0.8718523669582682]","[2.9370314778893998, 0.16656667093813246, 0.9222561915548447, 1.0061071201657836, 0.9672239777511812]","[3.0137973342415725, 0.15866423893799214, 1.0061071201657836, 1.077191561217184, 1.037819215359997]","[3.1531369639473312, 0.2012458140420526, 1.077191561217184, 1.1781014811947388, 1.1213536442314662]","[3.3862267686158756, 0.2296979558133599, 1.1781014811947388, 2.1679165452389926, 1.3216599340013853]"
7.7600,"[2.501099224919001, 0.21148621467986403, 0.5672026684140097, 0.8096791148051757, 0.712049746822357]","[2.8023456657849626, 0.16426047532220192, 0.8096791148051757, 0.9216332122925477, 0.8705181312500765]","[2.9658107400786857, 0.14695901330019678, 0.9216332122925477, 1.0061169013210696, 0.966844795945143]","[3.0330736831778404, 0.15226524731358862, 1.0061169013210696, 1.0775366676862703, 1.038006479343621]","[3.1687722534906797, 0.17503969626420873, 1.0775366676862703, 1.1825797616216578, 1.1221775723322365]","[3.4141318742205486, 0.2443665187890808, 1.1825797616216578, 2.1928318654432983, 1.325370957036809]"
7.6640,"[2.5541592713876127, 0.21890526416109732, 0.5646624047241227, 0.8077486711237134, 0.7101142547310347]","[2.8522613417914036, 0.17415448465087374, 0.8077486711237134, 0.9206854515867029, 0.8694757240462035]","[2.9902903918533834, 0.15758095456715118, 0.9206854515867029, 1.006317943226127, 0.9662732614949533]","[3.0797201631567717, 0.15535392788785687, 1.006317943226127, 1.0780760884645735, 1.038252409311618]","[3.226148134696442, 0.17816751518313498, 1.0780760884645735, 1.183424219366475, 1.1232055864097363]","[3.461009707503114, 0.24968290342555788, 1.183424219366475, 2.212394932782995, 1.3278152182710012]"
7.5700,"[2.5498693501912735, 0.2203571260709643, 0.5621572781118601, 0.8059799359677053, 0.7080890648697366]","[2.881009946007989, 0.1767074388472682, 0.8059799359677053, 0.9189690892982373, 0.8682912010716352]","[3.028485179082009, 0.18496046161057653, 0.9189690892982373, 1.0065826525601456, 0.9659786807785576]","[3.1070068599975564, 0.16937256785434307, 1.0065826525601456, 1.0784353472910602, 1.0385207320030059]","[3.252517179060522, 0.19922135182899844, 1.0784353472910602, 1.1844221067732308, 1.1240627726548913]","[3.454860320543069, 0.2304746382044395, 1.1844221067732308, 2.219802708908057, 1.3301858045707398]"
7.4800,"[2.574265044398131, 0.22120912966825798, 0.5596127398177108, 0.8041536411138616, 0.7059842459623168]","[2.9043429847712425, 0.17818045077838085, 0.8041536411138616, 0.9175349358686552, 0.8669201788649059]","[3.0648700065293912, 0.19069407079533762, 0.9175349358686552, 1.0066495303166523, 0.9653353978022137]","[3.132613939505967, 0.14492357823480692, 1.0066495303166523, 1.0785856639969056, 1.0382862183683108]","[3.2703739060483663, 0.1870005417193451, 1.0785856639969056, 1.18700164650016, 1.124613924501124]","[3.534609500565213, 0.303830180475232, 1.18700164650016, 2.2786184376752976, 1.3359829576872364]"
7.3910,"[2.5876491844979235, 0.2198994309310808, 0.5572312410761399, 0.8024785432996018, 0.7040985691517547]","[2.9363644783615612, 0.17810950454028662, 0.8024785432996018, 0.9171906815364919, 0.8658558236604655]","[3.1045946534523305, 0.18721018708425866, 0.9171906815364919, 1.0064099974769964, 0.9650448132881145]","[3.182405205965605, 0.1531571242592715, 1.0064099974769964, 1.0797790698660457, 1.038573779892509]","[3.3295530176552335, 0.19861778856402923, 1.0797790698660457, 1.1908639915047634, 1.1259131571747654]","[3.545256584533965, 0.23396397081455195, 1.1908639915047634, 2.234286825663004, 1.3360823358107763]"
7.3050,"[2.6213794016030874, 0.22982351392318817, 0.5549310010887921, 0.8010182914158103, 0.7021805749282019]","[2.9857711225683614, 0.19368281621146352, 0.8010182914158103, 0.9154733611775346, 0.8647484598055423]","[3.1304279826301173, 0.1700740860527267, 0.9154733611775346, 1.00596283838168, 0.9644986254070796]","[3.2034394811087323, 0.15730812375853037, 1.00596283838168, 1.0795908541457517, 1.0386515246029269]","[3.3401249172680236, 0.18688725536622028, 1.0795908541457517, 1.1906430825111294, 1.1266162680950162]","[3.6037303904297464, 0.24564837519423643, 1.1906430825111294, 2.261101216695984, 1.340205922209897]"
