,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11
43.6190,"[0.05569994425748854, 0.0042045978079297995, 0.8153636086136508, 0.9045735337128609, 0.876520279222713]","[0.06001049183883845, 0.004296166441852532, 0.9045735337128609, 0.9356605513165067, 0.9210991514042157]","[0.062014533326230435, 0.004328931703640715, 0.9356605513165067, 0.9558480815530486, 0.946393881060864]","[0.0634297191621782, 0.004270812231764106, 0.9558480815530486, 0.9724348932747383, 0.9649314186321897]","[0.06394168414329472, 0.004211015924910643, 0.9724348932747383, 0.9859518800731418, 0.9789856679852562]","[0.06572489392811577, 0.004330807241154246, 0.9859518800731418, 0.9990746689979462, 0.9930655724186673]","[0.06643949540351826, 0.004845214767189974, 0.9990746689979462, 1.013482253949504, 1.0062083782464293]","[0.06761140419855044, 0.004270601206670601, 1.013482253949504, 1.0272194549944917, 1.0205607046425968]","[0.06953826167987687, 0.004677673700048273, 1.0272194549944917, 1.0428826124723505, 1.034683944300511]","[0.07087331459951562, 0.004893619736693245, 1.0428826124723505, 1.0624633957691558, 1.0520345075007487]","[0.07268719842637983, 0.004807390741803676, 1.0624633957691558, 1.0947643863260526, 1.0784615370920096]","[0.07729505052471101, 0.005741589877002575, 1.0947643863260526, 1.2751861261511444, 1.132108807029123]"
38.9190,"[0.07034785626573227, 0.005389866447870706, 0.7965917696180369, 0.8938830102372749, 0.8631084828999032]","[0.07633108635359773, 0.005443361096761172, 0.8938830102372749, 0.9282178684251626, 0.9119628287456487]","[0.07931601360545083, 0.005779342525337458, 0.9282178684251626, 0.9499362665517729, 0.9399088640718224]","[0.08098702195302417, 0.005220592585959601, 0.9499362665517729, 0.9693177183457473, 0.9605462984924201]","[0.08219515764992531, 0.005373080733934186, 0.9693177183457473, 0.9834198017316462, 0.9762263572663951]","[0.08467009465833543, 0.0055985068000558615, 0.9834198017316462, 0.9984825977823762, 0.991887973772142]","[0.08553479962763454, 0.006275333411637056, 0.9984825977823762, 1.0149542847050264, 1.0065992576534857]","[0.08737334183809073, 0.005674983520018595, 1.0149542847050264, 1.0298234530785444, 1.022706609687414]","[0.08998875943557379, 0.006063515470872669, 1.0298234530785444, 1.0477147302994019, 1.038471064192709]","[0.09185218288891768, 0.006322048267767477, 1.0477147302994019, 1.0700390832476048, 1.0579926216158324]","[0.09474372771667902, 0.006318313713079758, 1.0700390832476048, 1.1061291264253792, 1.0878343728425672]","[0.10158710908301441, 0.007729109423001621, 1.1061291264253792, 1.3131349989731744, 1.1487444331114762]"
31.1370,"[0.10951069144039194, 0.008987358845979137, 0.755484102263554, 0.8690922548588282, 0.8331432050586807]","[0.1213664522921649, 0.00920327074484234, 0.8690922548588282, 0.9107257122462195, 0.8910331290595351]","[0.12714459522692728, 0.009513012916833537, 0.9107257122462195, 0.9374596677927614, 0.9248196407846561]","[0.13132283347382862, 0.009843997076414373, 0.9374596677927614, 0.9609692026020212, 0.950240735102758]","[0.13358767604799243, 0.008799577634241657, 0.9609692026020212, 0.9788226868016969, 0.9696540025655256]","[0.138967350633686, 0.010209223107034718, 0.9788226868016969, 0.9971194759547785, 0.9888382785156332]","[0.14023292075551702, 0.010367606437374454, 0.9971194759547785, 1.017844301910475, 1.0072549572767024]","[0.1453626625313246, 0.010579712876368613, 1.017844301910475, 1.0358440639694158, 1.0273235270335401]","[0.14966776791979952, 0.010883667273608557, 1.0358440639694158, 1.0585531426983634, 1.0468766368251612]","[0.15477706920289463, 0.011951223243904133, 1.0585531426983634, 1.086328130302273, 1.0715026422992777]","[0.1612649786877579, 0.012231740003853804, 1.086328130302273, 1.1331407980287622, 1.1093490614310209]","[0.17832824389850302, 0.016590244970067797, 1.1331407980287622, 1.4055397149977125, 1.1878133901646295]"
30.0000,"[0.11788473992270433, 0.009964641193659009, 0.7480988927870469, 0.8645729142954144, 0.8276365897572385]","[0.1310619672683635, 0.010141564714991258, 0.8645729142954144, 0.9076295722767271, 0.8871116543732506]","[0.13780405901670129, 0.010567272159567005, 0.9076295722767271, 0.9351478491672368, 0.9219584766464639]","[0.14251917324265895, 0.010923154863963731, 0.9351478491672368, 0.9592667733352581, 0.9482698066801848]","[0.14534188467886788, 0.009923520341681336, 0.9592667733352581, 0.9777055510917348, 0.9683898320036987]","[0.15112389972132576, 0.01138039246770192, 0.9777055510917348, 0.9968765143244464, 0.9882000844361385]","[0.1530428925870356, 0.011665856563956935, 0.9968765143244464, 1.0182266276135807, 1.0073505023961342]","[0.1585786399581065, 0.011993390358090732, 1.0182266276135807, 1.0371482325865016, 1.0281246135816358]","[0.16364529554901622, 0.012303313649230822, 1.0371482325865016, 1.0604240655393034, 1.048432733960267]","[0.16964538214815392, 0.01343143177605038, 1.0604240655393034, 1.089543329450967, 1.0739996952463484]","[0.17760140589901932, 0.014257084221265762, 1.089543329450967, 1.1382014059398367, 1.1134060246612054]","[0.19789960562234907, 0.01968264321667284, 1.1382014059398367, 1.4237994134371925, 1.195286558903404]"
27.9000,"[0.1362146454165993, 0.012357084691583798, 0.7332913872702216, 0.8550661049726845, 0.8164626631401043]","[0.15291425358982041, 0.012478251524696752, 0.8550661049726845, 0.9014128051536168, 0.8791199610969405]","[0.1616596869254383, 0.013186105620494007, 0.9014128051536168, 0.9302760615201828, 0.9160762542528065]","[0.16771350400856838, 0.013697467601508528, 0.9302760615201828, 0.9559208624706763, 0.9442015409005656]","[0.1719369324163741, 0.0129066649623953, 0.9559208624706763, 0.9757891635433351, 0.965787685079387]","[0.1792294742402487, 0.014532561509385027, 0.9757891635433351, 0.9964882681439347, 0.9868619133812891]","[0.18236501936011687, 0.015074168230721495, 0.9964882681439347, 1.0192982764320082, 1.0075233958085719]","[0.1902143472253969, 0.015871053002220324, 1.0192982764320082, 1.0395777074773116, 1.0297437657980821]","[0.19608151576566984, 0.015933937034987748, 1.0395777074773116, 1.0646404269555623, 1.051597950371474]","[0.20535518554132853, 0.01815161442418344, 1.0646404269555623, 1.0957516037182948, 1.0791013299482013]","[0.2170678325918519, 0.019892502819764072, 1.0957516037182948, 1.1487519981603351, 1.1217528827810155]","[0.24622798084045874, 0.028802724690544627, 1.1487519981603351, 1.4621274958040629, 1.2107496090950227]"
26.1240,"[0.15561158627467642, 0.015122506243491547, 0.7194360503080737, 0.8461023571309828, 0.8058052700633774]","[0.17680344144162127, 0.015873977278108693, 0.8461023571309828, 0.8947814723688701, 0.8714240411920212]","[0.18792856809267391, 0.016106596381406366, 0.8947814723688701, 0.9255910713182115, 0.9103561386647794]","[0.19629193960201197, 0.017670388216028177, 0.9255910713182115, 0.9526397973036311, 0.9402319760780418]","[0.20241054932600178, 0.016982821432634455, 0.9526397973036311, 0.9739206164442955, 0.9631952595892221]","[0.2113146711237836, 0.018953003974148324, 0.9739206164442955, 0.995948244460176, 0.9855247802877908]","[0.21679986900243647, 0.020543659969572723, 0.995948244460176, 1.020239534575103, 1.0076396176365832]","[0.2266173634746636, 0.02093121893494376, 1.020239534575103, 1.041631979804461, 1.0312264741256567]","[0.2348722196704279, 0.021249045169094136, 1.041631979804461, 1.0685748286842958, 1.0546083342335373]","[0.24789297229028556, 0.02458019875666492, 1.0685748286842958, 1.1014055145842918, 1.0839701753515845]","[0.26507216874597517, 0.027460705812753863, 1.1014055145842918, 1.1591313733665902, 1.1297992899749898]","[0.30694624018566674, 0.04076712258191968, 1.1591313733665902, 1.5004668653366182, 1.2258125957188528]"
24.5970,"[0.1763538199545516, 0.019015985202318952, 0.7064723728323362, 0.8373218330394061, 0.7956326293226065]","[0.20299907008390272, 0.019600340656644857, 0.8373218330394061, 0.889011751182137, 0.8640196685773216]","[0.21808062009520426, 0.020556238980641694, 0.889011751182137, 0.9209507305701774, 0.9048203757202912]","[0.2291875957877775, 0.022598219778366728, 0.9209507305701774, 0.9492832119056757, 0.9363569877804131]","[0.23776563144975021, 0.0223482812272242, 0.9492832119056757, 0.9721423856865641, 0.9606635150193757]","[0.24887809811753137, 0.02452724347381301, 0.9721423856865641, 0.995407116824953, 0.984198043490128]","[0.2574242819943638, 0.027427686491785862, 0.995407116824953, 1.0209934023267926, 1.0077346438094916]","[0.2708134069408556, 0.027752213129991953, 1.0209934023267926, 1.0440646572932533, 1.032614447056939]","[0.28222012284023845, 0.028002724708195252, 1.0440646572932533, 1.0723432399840747, 1.0575094030864782]","[0.29996852727142786, 0.03410918145833972, 1.0723432399840747, 1.1076345553713154, 1.08865423839976]","[0.32336944306139376, 0.03650593194671415, 1.1076345553713154, 1.168656524778285, 1.13760061783981]","[0.3826082405271428, 0.054824608047686824, 1.168656524778285, 1.53852986535879, 1.240505519443954]"
23.2680,"[0.19904960900098945, 0.023435042622687054, 0.6942953883010581, 0.8289109203433819, 0.7858910243412393]","[0.23265714666048606, 0.02532494717373763, 0.8289109203433819, 0.8831883409862248, 0.856903747722185]","[0.2525010493818774, 0.02646047207920833, 0.8831883409862248, 0.9163754042723098, 0.8994559370438175]","[0.2680975345794963, 0.02956457830636245, 0.9163754042723098, 0.9459992812936714, 0.9325698661558133]","[0.27786504018548025, 0.02842522178712561, 0.9459992812936714, 0.9703644639648632, 0.9581960607077474]","[0.2938978694131945, 0.030796041685379843, 0.9703644639648632, 0.9945478139349172, 0.982890203590983]","[0.30549683924598764, 0.03508847584513129, 0.9945478139349172, 1.0216792174086644, 1.0078145952887638]","[0.32236574269832463, 0.03612204217518908, 1.0216792174086644, 1.0462937113196247, 1.0339430398332647]","[0.33862401126805797, 0.036497875637485404, 1.0462937113196247, 1.0756212417648232, 1.060292643737726]","[0.3616266029786856, 0.04302062513724627, 1.0756212417648232, 1.1141306448392894, 1.0931797252888062]","[0.39384360871329843, 0.04735173956756639, 1.1141306448392894, 1.1781464563785187, 1.1451572879455278]","[0.4721795231582411, 0.07030090283747253, 1.1781464563785187, 1.576073627470553, 1.254811998052628]"
22.1000,"[0.2238803504561896, 0.02865655999368023, 0.6827550950403596, 0.8212340675290065, 0.7765447147030209]","[0.26757760295725985, 0.034897744636054655, 0.8212340675290065, 0.8774238484331465, 0.8500130735029974]","[0.29196884793010364, 0.030509805723324054, 0.8774238484331465, 0.912234110736249, 0.8942483660857071]","[0.31210807727836626, 0.036723156575190666, 0.912234110736249, 0.9430796093841658, 0.9288676778774573]","[0.3262652345500647, 0.036664031640101805, 0.9430796093841658, 0.968621079591654, 0.9557523234482084]","[0.34594846576051724, 0.03859140535699774, 0.968621079591654, 0.9940627977735731, 0.9816027075120288]","[0.36288829374653064, 0.044604472239566165, 0.9940627977735731, 1.0218807545597817, 1.007860473945324]","[0.3832133904106297, 0.04493826718899993, 1.0218807545597817, 1.0485916954721606, 1.0351778218020276]","[0.40658721731674247, 0.04601279719775877, 1.0485916954721606, 1.0792582155057455, 1.0629412839698351]","[0.43436358288247234, 0.05326216346536674, 1.0792582155057455, 1.1201646124058775, 1.0975303581686342]","[0.47644185697130825, 0.05804960016376595, 1.1201646124058775, 1.187004379585129, 1.1524227821577469]","[0.5730064291556326, 0.0840841787689049, 1.187004379585129, 1.6127503374517582, 1.2686887050841558]"
21.0620,"[0.25133344432581084, 0.035117985800465046, 0.6718176466030213, 0.8139961959782176, 0.7676143870599683]","[0.3068402410706262, 0.043659145898167745, 0.8139961959782176, 0.8716984613762379, 0.8433544086412676]","[0.33715334131344715, 0.036608909822693554, 0.8716984613762379, 0.9081428593111062, 0.8892667120593936]","[0.36431272306184115, 0.04654633850165836, 0.9081428593111062, 0.9402827693470295, 0.9252947712934745]","[0.3807563058751081, 0.04502857370626154, 0.9402827693470295, 0.9673922959372376, 0.9533611693373122]","[0.40674921329542574, 0.04729673328401993, 0.9673922959372376, 0.9935486602446173, 0.9804060083740013]","[0.42832149630109817, 0.05539816174927638, 0.9935486602446173, 1.0226126807649263, 1.0078957000433286]","[0.45355056264325755, 0.0542919335004982, 1.0226126807649263, 1.050590693806602, 1.0363856041500743]","[0.4845604436292947, 0.05605549551743189, 1.050590693806602, 1.0830403096898709, 1.065485604816898]","[0.5177476319580555, 0.06479659470799454, 1.0830403096898709, 1.125858081708982, 1.1017567376787332]","[0.5689407434402599, 0.06823631613758208, 1.125858081708982, 1.194890212991669, 1.1594466937512617]","[0.6859462402869673, 0.09500872797828988, 1.194890212991669, 1.6486874846724764, 1.2821043519327118]"
