,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11
20.1340,"[0.282155631810563, 0.042820047736279114, 0.6614436610433215, 0.8068102146187369, 0.7590572019728284]","[0.35062132918153743, 0.053590479673740345, 0.8068102146187369, 0.866237778657477, 0.8369312677530479]","[0.3883371543846986, 0.044009623581776194, 0.866237778657477, 0.9042598042028137, 0.8844710460240214]","[0.42346752337815763, 0.056145736825417375, 0.9042598042028137, 0.9379363480949673, 0.9218054412326808]","[0.44164440409266387, 0.05248912692914358, 0.9379363480949673, 0.9657306979220222, 0.9510470979406747]","[0.4745602786200173, 0.05546108032078983, 0.9657306979220222, 0.9930000516206239, 0.9792469912245019]","[0.5028501142454197, 0.06603680599938366, 0.9930000516206239, 1.0231138135670825, 1.0078778081335185]","[0.5325563512075279, 0.06364369660549778, 1.0231138135670825, 1.0525424435796968, 1.0375506423590621]","[0.5684977231366016, 0.0681494754780635, 1.0525424435796968, 1.0863699338472914, 1.0679283554501293]","[0.6065667725902116, 0.07062300440346014, 1.0863699338472914, 1.130716604532802, 1.1057923715385898]","[0.6688256719355815, 0.07649506564890957, 1.130716604532802, 1.202842842049361, 1.1661990663632114]","[0.7982973491997881, 0.10475128488254949, 1.202842842049361, 1.6830348260217167, 1.295003086316662]"
19.2980,"[0.31709905567648927, 0.052129260036479046, 0.6515753786542446, 0.79967321962214, 0.7508823283946573]","[0.40009427761571664, 0.06271041579003657, 0.79967321962214, 0.8609097646943046, 0.8307459443992954]","[0.44500302063539965, 0.051204181507733544, 0.8609097646943046, 0.9004857176685008, 0.8798524559307437]","[0.4867881981812583, 0.06417654398231899, 0.9004857176685008, 0.9351941011968703, 0.9184458428247149]","[0.5128566790272435, 0.0618380253443422, 0.9351941011968703, 0.9643645022623042, 0.9488449789244592]","[0.5496978683392196, 0.06545293947192884, 0.9643645022623042, 0.9921986341194178, 0.9781450876549064]","[0.5837247287478204, 0.0759013039347205, 0.9921986341194178, 1.0232427700161175, 1.0078390281571852]","[0.617116094410807, 0.0716096094352067, 1.0232427700161175, 1.0543854772519654, 1.038692792829078]","[0.6619077869737604, 0.08606033770640346, 1.0543854772519654, 1.0898372629561153, 1.070307001423174]","[0.7038000495932255, 0.08556608512089951, 1.0898372629561153, 1.136488287718307, 1.1096906897396797]","[0.776064991371062, 0.09282968581629657, 1.136488287718307, 1.211820374400008, 1.1726953379736789]","[0.9183126158279489, 0.11931704325633463, 1.211820374400008, 1.715708586027317, 1.3074238280162518]"
18.5400,"[0.3550227101840545, 0.06091378395356062, 0.6422032725262151, 0.7929043910137037, 0.7430762623277136]","[0.4549407399997853, 0.07144080579437682, 0.7929043910137037, 0.8557220413324579, 0.824785021449298]","[0.5091022176573062, 0.06047902048948403, 0.8557220413324579, 0.8967656462180174, 0.8754240071892789]","[0.5573155784906251, 0.07128274219491758, 0.8967656462180174, 0.9325445430378986, 0.9151833737761926]","[0.5863464824817797, 0.06941435963512749, 0.9325445430378986, 0.9629820189601483, 0.946754778354078]","[0.628517680027237, 0.07305419477805317, 0.9629820189601483, 0.9921045777482552, 0.9770972455652891]","[0.6672549008746441, 0.081587433362675, 0.9921045777482552, 1.0237586599908104, 1.0077955978204745]","[0.704635601236267, 0.07726011838948915, 1.0237586599908104, 1.0559143753607663, 1.0397876584114107]","[0.7537837295564845, 0.08365468441151327, 1.0559143753607663, 1.0927797306619669, 1.0725373914678435]","[0.7958956011196505, 0.08090506282933807, 1.0927797306619669, 1.1405126304998061, 1.113438260754447]","[0.8748102024786455, 0.0849692125700066, 1.1405126304998061, 1.219849137296611, 1.178865218181531]","[1.0233835515962413, 0.11212937313353026, 1.219849137296611, 1.7467527834199172, 1.319260096476936]"
17.8480,"[0.3955158690105431, 0.07076328174506921, 0.6333134052303425, 0.7855250724248317, 0.7356076730569836]","[0.5121837744298946, 0.07989585680839591, 0.7855250724248317, 0.8507992428815204, 0.8190469093654755]","[0.5756157611188442, 0.07138248233141056, 0.8507992428815204, 0.8932366558828625, 0.871183084355136]","[0.6294608658821492, 0.07594074642228753, 0.8932366558828625, 0.9301169620604997, 0.9120537754780039]","[0.6637972987214016, 0.07502619993381056, 0.9301169620604997, 0.961292621937415, 0.9447592855645288]","[0.7125540237050324, 0.08003898495926436, 0.961292621937415, 0.9913860321182955, 0.9760666075466353]","[0.7566140089054613, 0.08866329571952522, 0.9913860321182955, 1.0244335140525147, 1.0077890406189172]","[0.7990903839533354, 0.0863056150920378, 1.0244335140525147, 1.0574050247638969, 1.0408462809056578]","[0.8530414097922951, 0.09288351706807893, 1.0574050247638969, 1.095725101692565, 1.0746909917109888]","[0.898617258455631, 0.08636875537931128, 1.095725101692565, 1.1457288962510084, 1.1170892350401598]","[0.9850755486923346, 0.10049056296532365, 1.1457288962510084, 1.2273865931365564, 1.1847914692612276]","[1.139779274655608, 0.12195838037335426, 1.2273865931365564, 1.7763389587795675, 1.330629477724324]"
17.2150,"[0.44108480251974214, 0.08412256019821664, 0.6248864050583474, 0.778727110033303, 0.728486373739486]","[0.5727137282783508, 0.08575903212723762, 0.778727110033303, 0.8458829250726523, 0.813547718500032]","[0.6479187026301082, 0.08102279597603193, 0.8458829250726523, 0.8896702944129278, 0.8671203978312018]","[0.706383773741775, 0.08350511419220573, 0.8896702944129278, 0.9278409993742612, 0.909097957678114]","[0.7456613989601286, 0.08246878248043299, 0.9278409993742612, 0.9596168129408127, 0.9428495005140877]","[0.7961578881884055, 0.08312637374363512, 0.9596168129408127, 0.9907366785716489, 0.9750850753747643]","[0.8456384682621917, 0.09457877426397922, 0.9907366785716489, 1.0250056712332214, 1.007791993790669]","[0.889094645340624, 0.08812026021344005, 1.0250056712332214, 1.0590951716670878, 1.0418533888923383]","[0.9474292916842868, 0.09437599613270425, 1.0590951716670878, 1.0982776839316555, 1.0767315733669174]","[0.9929210081821966, 0.08674210793581484, 1.0982776839316555, 1.1502366773296269, 1.1206034919913976]","[1.085734320552059, 0.0951669013143742, 1.1502366773296269, 1.2336653859415436, 1.1904231850301477]","[1.2404312538082793, 0.11496984125104687, 1.2336653859415436, 1.8045073222812598, 1.3414347777294169]"
16.6330,"[0.48902529326270144, 0.09550625027777658, 0.616889625292169, 0.7728388325052272, 0.721689857556692]","[0.6374805916927803, 0.09707663065029656, 0.7728388325052272, 0.8417222659343565, 0.8082725442074328]","[0.7180500833886455, 0.08125651398938075, 0.8417222659343565, 0.8865265528753529, 0.8632592754369415]","[0.7842057279296295, 0.08762542138103879, 0.8865265528753529, 0.9255420126378697, 0.9062550773196818]","[0.8276443823445271, 0.08498927653484771, 0.9255420126378697, 0.9583620795880307, 0.9410373172459632]","[0.8809009725745786, 0.08840676669350056, 0.9583620795880307, 0.9900892807863564, 0.974120217987563]","[0.9342742070589967, 0.09770892310363503, 0.9900892807863564, 1.025654227319927, 1.0078231494134702]","[0.9809682073575012, 0.09384702604589051, 1.025654227319927, 1.0605726639001807, 1.042862127957978]","[1.0407036018515368, 0.09438784970289903, 1.0605726639001807, 1.1009133928559969, 1.0786716987183225]","[1.0890184438611492, 0.08989282859415113, 1.1009133928559969, 1.1539091590541235, 1.124028841424287]","[1.1864049234970138, 0.10269075389387702, 1.1539091590541235, 1.2401154331929554, 1.1957969462928453]","[1.3469614192724366, 0.11790156068449126, 1.2401154331929554, 1.8287853282110984, 1.351727928151348]"
16.0950,"[0.5370354581474607, 0.10235804352590046, 0.6092973455469006, 0.7666204051015766, 0.7152016478442103]","[0.702701326758605, 0.10344146336082984, 0.7666204051015766, 0.8373839715525515, 0.8032224489903106]","[0.7917285024515934, 0.08896599210264708, 0.8373839715525515, 0.8833850291663142, 0.8595751481483839]","[0.8612776231083651, 0.09081560711179243, 0.8833850291663142, 0.9231477239655391, 0.9035251902932502]","[0.9087093698550359, 0.0875513814022025, 0.9231477239655391, 0.9572102613437029, 0.9392982699760504]","[0.9669435203374075, 0.09087566896001506, 0.9572102613437029, 0.9891165229939418, 0.9731704688262744]","[1.022790301382477, 0.09809037291982113, 0.9891165229939418, 1.0256941664720693, 1.0078853194591038]","[1.0699791671380543, 0.09351626760382349, 1.0256941664720693, 1.0623287633269094, 1.043839272786489]","[1.1294088092281809, 0.09695667548053992, 1.0623287633269094, 1.103906415239599, 1.0805191285731262]","[1.1760190630821772, 0.08657632164543219, 1.103906415239599, 1.1580618468686767, 1.1272714159755308]","[1.272676944921078, 0.09947772714225406, 1.1580618468686767, 1.2458739929434044, 1.2008863521007513]","[1.4282918518399672, 0.11927643487964323, 1.2458739929434044, 1.853074426013989, 1.3614187606023838]"
15.5960,"[0.5868357214428814, 0.10982446842141488, 0.6021053187979358, 0.7607592055653963, 0.7090274517681674]","[0.7677514596378026, 0.10752815836932587, 0.7607592055653963, 0.8331164705569057, 0.7983788739514959]","[0.8663282223263787, 0.09417003849761071, 0.8331164705569057, 0.8802252927084306, 0.8560869979267081]","[0.9376482746859632, 0.0930375247051751, 0.8802252927084306, 0.9215200523849716, 0.9009064208500188]","[0.9827004605768543, 0.08837513541928584, 0.9215200523849716, 0.9556393936080713, 0.9376925878531126]","[1.0464952764830118, 0.09646691979685942, 0.9556393936080713, 0.9886784034040256, 0.9722369659216524]","[1.0997622080248244, 0.09727131591339612, 0.9886784034040256, 1.0260296476476685, 1.0079794424229669]","[1.1522128586474583, 0.09475881996780985, 1.0260296476476685, 1.0638817962304092, 1.044801159947889]","[1.210682305043282, 0.09880701608946797, 1.0638817962304092, 1.1063253533785178, 1.0822858374030906]","[1.2614255745788048, 0.09198666661888087, 1.1063253533785178, 1.1620607362199615, 1.1304180272396487]","[1.3616548359323488, 0.10914963401665997, 1.1620607362199615, 1.252261250012973, 1.2057736198014803]","[1.5134309298220483, 0.1254368378311847, 1.252261250012973, 1.8768628134363043, 1.3706879032762334]"
15.1320,"[0.6413402775829972, 0.11994926634185238, 0.5952568385387037, 0.7551077940688299, 0.7031207560400177]","[0.8350103177952236, 0.11235063388384409, 0.7551077940688299, 0.8290579093268886, 0.79373013031203]","[0.9370178229829974, 0.09337992443176892, 0.8290579093268886, 0.877345406597856, 0.8527151782765676]","[1.0128323588755284, 0.09535649030469989, 0.877345406597856, 0.9197081327307984, 0.8983733081353046]","[1.060851017142348, 0.08921496285566413, 0.9197081327307984, 0.9548331701756647, 0.9362013265486168]","[1.1268146448891436, 0.1006639281221987, 0.9548331701756647, 0.9884202783585073, 0.971293018509739]","[1.1855963542534933, 0.11434318733595529, 0.9884202783585073, 1.0263007421759873, 1.0080850797934704]","[1.23572964200574, 0.09896743615048526, 1.0263007421759873, 1.0646762801147591, 1.045775343177941]","[1.2959555240316807, 0.09851673891044983, 1.0646762801147591, 1.1086662309885453, 1.0839653287034805]","[1.3516402091042026, 0.10094333362644232, 1.1086662309885453, 1.166331768325298, 1.1334986015870645]","[1.4509741970403045, 0.11863270645448079, 1.166331768325298, 1.2583859777730013, 1.2104436228343591]","[1.602302731593687, 0.12772964079006385, 1.2583859777730013, 1.8985147212220135, 1.3796452118245317]"
14.6990,"[0.6952162134001095, 0.12983278372428536, 0.5887117330512577, 0.7502158400475272, 0.6974266793578273]","[0.9047956859999721, 0.12432237007874344, 0.7502158400475272, 0.8250407397332764, 0.7892562409298823]","[1.0125958049613908, 0.09873443008611218, 0.8250407397332764, 0.8745489118617681, 0.8494726701611157]","[1.0929709926455244, 0.10363988607534343, 0.8745489118617681, 0.9178744464519271, 0.8959244988409242]","[1.1426717189134192, 0.09553563393874905, 0.9178744464519271, 0.9536771288029571, 0.9347615230891323]","[1.2060308597190996, 0.09841198899445866, 0.9536771288029571, 0.9880649920563273, 0.9703480694865985]","[1.2632970512153359, 0.09938495716638192, 0.9880649920563273, 1.0266436200443283, 1.0081137463881433]","[1.3223067678056035, 0.10108242699348244, 1.0266436200443283, 1.0657598195413298, 1.0466880226820454]","[1.3797890934831003, 0.10152543465759657, 1.0657598195413298, 1.1107099375398102, 1.08553610010156]","[1.4299535644390418, 0.09648217108975761, 1.1107099375398102, 1.1690535632925052, 1.1364007132325558]","[1.5398832664797095, 0.12927563605824305, 1.1690535632925052, 1.2646617623157206, 1.2148542463723648]","[1.6943729326345205, 0.13327620289094758, 1.2646617623157206, 1.9219192320204008, 1.3882309184222381]"
14.2940,"[0.7516738132597899, 0.1355157719847169, 0.5825123478530185, 0.7455803031770393, 0.6920088803178557]","[0.9692853025103748, 0.12434968294308592, 0.7455803031770393, 0.8213083000015938, 0.7849825501066072]","[1.0817467220221324, 0.09822876829061021, 0.8213083000015938, 0.8718765880564321, 0.8463890123684663]","[1.1611538221782982, 0.09935984231381031, 0.8718765880564321, 0.9159532877486045, 0.8935892715450657]","[1.2175124488283209, 0.09741297892190179, 0.9159532877486045, 0.9522700170657535, 0.9333957015298909]","[1.2756125308827098, 0.09425970075445166, 0.9522700170657535, 0.9877139196208107, 0.9694761250460461]","[1.3418131895942007, 0.10218187723318303, 0.9877139196208107, 1.0272187967466573, 1.0081738393406459]","[1.3987980462970315, 0.0998616829264388, 1.0272187967466573, 1.066596325955973, 1.0475786701359946]","[1.4493176991667411, 0.09658136917766244, 1.066596325955973, 1.1128456264121844, 1.08705574101004]","[1.5038204024047197, 0.09806717890915381, 1.1128456264121844, 1.1724454222348006, 1.1392450757622123]","[1.6075751445086839, 0.11923514125952793, 1.1724454222348006, 1.2709101193130234, 1.219018395059216]","[1.759975918182703, 0.12813229991484518, 1.2709101193130234, 1.9393035881286822, 1.3962543457291992]"
13.9140,"[0.8093189247115885, 0.1440766381841963, 0.5766129627344131, 0.7411750004986952, 0.6868280428432101]","[1.0311688312304554, 0.12363727360438707, 0.7411750004986952, 0.817640300799972, 0.7809019833618027]","[1.1528385245178019, 0.10484338766185045, 0.817640300799972, 0.8693995109705647, 0.843401910108846]","[1.2318208238396748, 0.09618836911403529, 0.8693995109705647, 0.9140469221099721, 0.8913615763976936]","[1.2850417843617936, 0.09434331608955009, 0.9140469221099721, 0.9508764142468867, 0.9320653163423374]","[1.345512037201476, 0.09458793115951751, 0.9508764142468867, 0.987446179435237, 0.9686623399694917]","[1.4054400059280316, 0.10026284286725859, 0.987446179435237, 1.0276239841416548, 1.008219098776341]","[1.4661739711437027, 0.09922103992607383, 1.0276239841416548, 1.0677326202289263, 1.048377016347372]","[1.5163073289146825, 0.10143416105992865, 1.0677326202289263, 1.1147692273759826, 1.0885265838002076]","[1.5714705403977642, 0.12707178082097367, 1.1147692273759826, 1.1751543238658009, 1.1419741548593167]","[1.6731010726577844, 0.14210041870993517, 1.1751543238658009, 1.2761091265114317, 1.2229661836597603]","[1.8388798454103317, 0.1687236759579463, 1.2761091265114317, 1.961029929658839, 1.404092555303036]"
