,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11
13.5570,"[0.9649639250156351, 0.1427274079342314, 0.5960538420407094, 0.7710204807135809, 0.710801076148713]","[1.2074967170923279, 0.11847794533883595, 0.7710204807135809, 0.8359155868818036, 0.8065783945624516]","[1.3007466745737317, 0.0968901271625867, 0.8359155868818036, 0.8873641621607168, 0.8630618559422426]","[1.3695026674754216, 0.09318256097716478, 0.8873641621607168, 0.9282279781308668, 0.9067713914138915]","[1.4349156292983278, 0.1043639867503972, 0.9282279781308668, 0.9665782855979929, 0.9481971316042322]","[1.4789716992754334, 0.10025760751288601, 0.9665782855979929, 0.9981040996944306, 0.9828100988293907]","[1.5219181003852065, 0.09336571494231317, 0.9981040996944306, 1.0277322254368264, 1.011971743464381]","[1.5877888762824701, 0.10500988100096605, 1.0277322254368264, 1.0659571256860723, 1.0480555531974927]","[1.620819831835226, 0.09166734403186472, 1.0659571256860723, 1.1015747261624083, 1.0830268302026262]","[1.7009694362647756, 0.10750655202915826, 1.1015747261624083, 1.152326531461485, 1.1271464005016198]","[1.747418019989119, 0.09929323280800029, 1.152326531461485, 1.2378973297690483, 1.188220848974215]","[1.9004521844171818, 0.1163330127468421, 1.2378973297690483, 1.9481233496617378, 1.353837897649824]"
13.2210,"[1.0283067338856566, 0.1460103274374105, 0.5909746810340852, 0.7668854890408756, 0.706359615437434]","[1.2804249676322943, 0.12008205680848467, 0.7668854890408756, 0.833033998534449, 0.8031799797775246]","[1.3813835587128167, 0.10023075701955952, 0.833033998534449, 0.8857169231380911, 0.8606702820475723]","[1.4487210443977099, 0.09494837701102649, 0.8857169231380911, 0.9267300272236608, 0.9050384604451565]","[1.5136413972007643, 0.11055323018714644, 0.9267300272236608, 0.9658614120618073, 0.9472330005993269]","[1.5605391291709045, 0.11074617676609497, 0.9658614120618073, 0.9979079968342535, 0.9824295412053794]","[1.5937705127687647, 0.10103093136341135, 0.9979079968342535, 1.028510947066299, 1.0121356894819145]","[1.6627373284223366, 0.10360721795809671, 1.028510947066299, 1.0666442776621121, 1.0487801636363943]","[1.7007752514442358, 0.09703800051426285, 1.0666442776621121, 1.103281097211135, 1.0845113517158376]","[1.778584587194426, 0.11706129048924714, 1.103281097211135, 1.1556159656741039, 1.1291152979175199]","[1.8311419758027867, 0.11104079986551142, 1.1556159656741039, 1.2419218304363688, 1.1916574526804715]","[1.9997767870387084, 0.13564496657748784, 1.2419218304363688, 1.9692974072913525, 1.3602524292555973]"
12.9030,"[1.0807148050609598, 0.14504183484425415, 0.5861363880501061, 0.7636774232811602, 0.7021104479814686]","[1.3280769260102177, 0.10880726563033227, 0.7636774232811602, 0.8301602362106634, 0.7998746542443331]","[1.4352673611723217, 0.09437978179994795, 0.8301602362106634, 0.8837915585484432, 0.8583175430974449]","[1.504823116007457, 0.09354416822840772, 0.8837915585484432, 0.9250340743439489, 0.9033539858464978]","[1.569104255301745, 0.10828906776603078, 0.9250340743439489, 0.9651379331893708, 0.9462861192517603]","[1.6195773895449468, 0.1059734394911321, 0.9651379331893708, 0.9978724212450727, 0.9819987139120857]","[1.653399224541994, 0.10437471598599646, 0.9978724212450727, 1.029313289137095, 1.0123079393668577]","[1.7304439018032813, 0.11161458218611288, 1.029313289137095, 1.0671265188457568, 1.0494876432449531]","[1.7594750756459892, 0.10017449185764106, 1.0671265188457568, 1.1049073998814698, 1.0858707269678345]","[1.8407048381599809, 0.11755085173089277, 1.1049073998814698, 1.1579819329394039, 1.1309513125289548]","[1.8901548242908057, 0.11428002630354334, 1.1579819329394039, 1.2459200032021918, 1.1947748211664713]","[2.055068493008509, 0.1408119504987034, 1.2459200032021918, 1.9830095947307607, 1.3660456233187734]"
12.6030,"[1.1333860036832637, 0.149078994405042, 0.5815881081890502, 0.760741469613095, 0.6980406827094676]","[1.3852049320304791, 0.11713078059865359, 0.760741469613095, 0.8279272721553486, 0.7967219822067454]","[1.4915964126234627, 0.09467052005323774, 0.8279272721553486, 0.8804025592594249, 0.8560551046029783]","[1.5596131601909866, 0.10078555817631664, 0.8804025592594249, 0.923119494308215, 0.9017475583443076]","[1.6242688460709667, 0.1073723481398026, 0.923119494308215, 0.9642621633714228, 0.9453778095718182]","[1.671850576761042, 0.09812437284084895, 0.9642621633714228, 0.9976044419563757, 0.9815904501456365]","[1.7100003059854363, 0.11080360045742146, 0.9976044419563757, 1.0286846859422094, 1.0124689830574822]","[1.7852288554336202, 0.1182423644427656, 1.0286846859422094, 1.0679699046347708, 1.0501909588634633]","[1.819033828473455, 0.1118515471486524, 1.0679699046347708, 1.107211298147694, 1.0871951570360276]","[1.895299900275328, 0.13570489166483662, 1.107211298147694, 1.160737242735956, 1.1327598316374161]","[1.9402128152887506, 0.11865540959733606, 1.160737242735956, 1.2494013971958766, 1.1978159745031065]","[2.120269624899139, 0.1534035597776056, 1.2494013971958766, 2.003438023905448, 1.3720492625186902]"
12.3180,"[1.1842409352253982, 0.15284122738812864, 0.5772703092940193, 0.7572354754633043, 0.694113140802479]","[1.43832786141102, 0.11170271005144373, 0.7572354754633043, 0.8253177868194207, 0.7936861086856029]","[1.5493839067385902, 0.09253888213450184, 0.8253177868194207, 0.8781553679220675, 0.853881194851953]","[1.6183956356689668, 0.0994265136778961, 0.8781553679220675, 0.9209859452887038, 0.9002260139393398]","[1.6758479757541036, 0.10852895353257655, 0.9209859452887038, 0.9636758728483024, 0.9444721955788145]","[1.7198157353830412, 0.10159227187041377, 0.9636758728483024, 0.9981823148477149, 0.9812334584099968]","[1.7563544270712703, 0.09325557589317196, 0.9981823148477149, 1.029207427657158, 1.012620809063595]","[1.8204929214704866, 0.09809278861943803, 1.029207427657158, 1.0687166321272257, 1.0507769758747534]","[1.8642297717663276, 0.10355782803933392, 1.0687166321272257, 1.1088327175111885, 1.0884319100382895]","[1.943716601006648, 0.13007038585275948, 1.1088327175111885, 1.1628075738935226, 1.134463672253767]","[1.9954838824540404, 0.12321086083166856, 1.1628075738935226, 1.2528057048613321, 1.2007932084795279]","[2.174779400809746, 0.1627200886829862, 1.2528057048613321, 2.0256524873532245, 1.3777441731912228]"
12.0480,"[1.24489835078477, 0.15420830005864858, 0.5729983284853725, 0.7537506921392018, 0.6902066271173459]","[1.5017632161800172, 0.11376651487731546, 0.7537506921392018, 0.8233032157522603, 0.7906375675435944]","[1.6188460949262389, 0.10221472018373208, 0.8233032157522603, 0.8767489258815203, 0.8516854097546318]","[1.6829713463135993, 0.09835486352211414, 0.8767489258815203, 0.9189502008264395, 0.8986701112116127]","[1.7515574722852005, 0.1258708262560696, 0.9189502008264395, 0.9630360386924042, 0.9435212968195138]","[1.7945387752767303, 0.11031073691679645, 0.9630360386924042, 0.9976685794053481, 0.9808806380785309]","[1.8327509721741966, 0.103215766129527, 0.9976685794053481, 1.0305804214879553, 1.0128066234298005]","[1.90629437570758, 0.11285894473998252, 1.0305804214879553, 1.0698168979262228, 1.0514681660625684]","[1.942687352921882, 0.11883883459546105, 1.0698168979262228, 1.1108053793952641, 1.0896773147319678]","[2.0178895373584376, 0.13377161224345394, 1.1108053793952641, 1.1643061228810818, 1.1362051404672024]","[2.0687988345319974, 0.12384147501531577, 1.1643061228810818, 1.2562021068713183, 1.2036328248199484]","[2.249695485643199, 0.15133631522622348, 1.2562021068713183, 2.046673723788407, 1.3836819308124175]"
11.7910,"[1.2969600969871773, 0.16071345872449852, 0.5690226611232281, 0.7500871206615171, 0.6865185534275371]","[1.5537937820289627, 0.11619035704582088, 0.7500871206615171, 0.8204317763615718, 0.7877308240173979]","[1.6645989506779972, 0.10210137962878106, 0.8204317763615718, 0.875320726751179, 0.8495626926486645]","[1.7305122578214807, 0.10833098802951525, 0.875320726751179, 0.9176425682005825, 0.8972107092014374]","[1.794676041972306, 0.12516010478897033, 0.9176425682005825, 0.9621316626440073, 0.94253728700625]","[1.8389708947406367, 0.10320563416921494, 0.9621316626440073, 0.9978927418841019, 0.9804859161681657]","[1.8775263161457463, 0.11145049501480837, 0.9978927418841019, 1.0301662676235988, 1.0129299414583748]","[1.9504633471866433, 0.1269282019186905, 1.0301662676235988, 1.0704807597830697, 1.0520325376496713]","[1.9844998178729079, 0.12022793811657642, 1.0704807597830697, 1.1118443359339654, 1.0908400897789414]","[2.0825714690675907, 0.1531729434919535, 1.1118443359339654, 1.1671024283629339, 1.1378875562908983]","[2.1224788918738287, 0.13697685998413248, 1.1671024283629339, 1.258376371670088, 1.2064081756348888]","[2.3004313313272435, 0.14911187554590988, 1.258376371670088, 2.055602195283659, 1.388710674819933]"
11.5460,"[1.344089531226246, 0.16657616496440603, 0.5650956920843953, 0.7467265088439073, 0.6828821937379206]","[1.5978529579355338, 0.10740774208509177, 0.7467265088439073, 0.8175901683983403, 0.7848448333671784]","[1.719169365372936, 0.0995569581079772, 0.8175901683983403, 0.8731420997508694, 0.8474595174433776]","[1.7837911981612944, 0.10831155404042635, 0.8731420997508694, 0.9173678117996958, 0.8958009347280589]","[1.8540939767193223, 0.13576676862028605, 0.9173678117996958, 0.9608240415353008, 0.9416092969682742]","[1.8943327201411868, 0.11983371013343427, 0.9608240415353008, 0.9974592080292076, 0.9801255678446735]","[1.9427495194335271, 0.14443272545767352, 0.9974592080292076, 1.0304645532911885, 1.0131262900444997]","[1.9993812465023524, 0.12953099290352607, 1.0304645532911885, 1.071957164959584, 1.0525320256170925]","[2.042159872495603, 0.13108679659553207, 1.071957164959584, 1.1134109004882726, 1.0920072380334926]","[2.133583605218345, 0.1518129041303396, 1.1134109004882726, 1.169028316169946, 1.139458849909103]","[2.1948022966546024, 0.1532136299913901, 1.169028316169946, 1.2618584867068885, 1.209198243859497]","[2.369522009797515, 0.18145430340321975, 1.2618584867068885, 2.0777274119474085, 1.394354228117476]"
11.3130,"[1.3963162103648545, 0.16679853402137876, 0.5613401900272171, 0.7433587384224277, 0.6793438579658891]","[1.652779681774128, 0.12207380863030819, 0.7433587384224277, 0.815392937966721, 0.7820393660546459]","[1.7694090428792904, 0.10325324383266772, 0.815392937966721, 0.8715810038636878, 0.8453829431333459]","[1.841156406374402, 0.12223775471603966, 0.8715810038636878, 0.9164603807578755, 0.8944486995581805]","[1.9058371417228641, 0.13419547284140879, 0.9164603807578755, 0.9606161944617233, 0.9406722373350114]","[1.9420149920943177, 0.120655862259261, 0.9606161944617233, 0.9969673040403046, 0.9797486258591473]","[1.9916454310605858, 0.12815162509517158, 0.9969673040403046, 1.031742821928039, 1.0132387715491311]","[2.0573048859100553, 0.1376252338875105, 1.031742821928039, 1.072939692895569, 1.0530924346943704]","[2.095883928737598, 0.144216007560762, 1.072939692895569, 1.115357358480494, 1.093160828874295]","[2.1865166439609207, 0.16880277976331703, 1.115357358480494, 1.1709134914601333, 1.1410217747998266]","[2.2472828104674614, 0.15576644587522595, 1.1709134914601333, 1.2648819994157947, 1.211892802030897]","[2.4237124162328616, 0.18820762238905378, 1.2648819994157947, 2.101618804261523, 1.3997507294158815]"
11.0900,"[1.4439634557811312, 0.17077668781554742, 0.5577914163655824, 0.7400408601486749, 0.6759727014938212]","[1.695565025827848, 0.11338600227585861, 0.7400408601486749, 0.8137198502072622, 0.7793467254967046]","[1.8163841439468769, 0.104877993421075, 0.8137198502072622, 0.8698063689442849, 0.843419673585399]","[1.8895669522345167, 0.11887584505356293, 0.8698063689442849, 0.9158013152329604, 0.8931931949306858]","[1.9505824408650023, 0.13032595561231505, 0.9158013152329604, 0.9609018096757966, 0.9397870285352801]","[1.9941925943430776, 0.12723007481485332, 0.9609018096757966, 0.9974709753629487, 0.9794573564448629]","[2.038170412067541, 0.13113332541185002, 0.9974709753629487, 1.0324450269161434, 1.0134666836694348]","[2.102289399898221, 0.12823394415054065, 1.0324450269161434, 1.0739791428044678, 1.0536335629809734]","[2.143857668720488, 0.14599731100712884, 1.0739791428044678, 1.1161048882852835, 1.0943122869805675]","[2.2255168612136327, 0.1591399992219129, 1.1161048882852835, 1.1734329782610329, 1.1425304215258727]","[2.2877620885590018, 0.1613156543638933, 1.1734329782610329, 1.2676006049771298, 1.2145619129690512]","[2.461609951664618, 0.1675703033068287, 1.2676006049771298, 2.108573874030948, 1.404761157469672]"
10.8770,"[1.5064695731856022, 0.21275186443629152, 0.554387845142381, 0.7371203511233675, 0.6727178698652237]","[1.74461062821696, 0.14196449011489376, 0.7371203511233675, 0.8121828813296297, 0.7767507218085502]","[1.8536010376176282, 0.10058903480053501, 0.8121828813296297, 0.8680760383379094, 0.8414635032789028]","[1.9154547430394449, 0.11189634630161713, 0.8680760383379094, 0.9147875797708986, 0.8918701700611372]","[1.972343469668161, 0.12636937293724104, 0.9147875797708986, 0.959995064880582, 0.9388626418912497]","[2.014876857170424, 0.12164654275715321, 0.959995064880582, 0.9970780175752526, 0.9790310994552117]","[2.062821703979805, 0.12302008856751807, 0.9970780175752526, 1.0311575449823245, 1.0135541122145781]","[2.1342662794758405, 0.12463776655769736, 1.0311575449823245, 1.0741885051560112, 1.0541049514807255]","[2.1764880890559244, 0.14369808855474833, 1.0741885051560112, 1.1176269307524735, 1.0953464898380108]","[2.2606661070043264, 0.15667603740175018, 1.1176269307524735, 1.1755217574649959, 1.1439495087846907]","[2.3339401371628425, 0.15436693888139613, 1.1755217574649959, 1.2704705756897157, 1.217096955544735]","[2.489413700521968, 0.1710814811709415, 1.2704705756897157, 2.127079994636322, 1.409850071069772]"
10.6730,"[1.542017617373282, 0.17322950742337087, 0.550870660383093, 0.7342490590927058, 0.669305853649927]","[1.793338312102498, 0.11891193052707331, 0.7342490590927058, 0.8105868904000422, 0.774007528856434]","[1.9183697475158232, 0.11251427573829921, 0.8105868904000422, 0.8658226066935307, 0.8393830454285882]","[1.9805937994331897, 0.12259696181922726, 0.8658226066935307, 0.9137470023115071, 0.8904607049531994]","[2.0455521743223204, 0.14622742932321395, 0.9137470023115071, 0.9593956565966274, 0.9379072838858092]","[2.081729481601218, 0.12733445679914088, 0.9593956565966274, 0.9969373287065132, 0.9786108564830386]","[2.1352432467748668, 0.12773033045653898, 0.9969373287065132, 1.032168417284283, 1.0136861444104617]","[2.2187122794870104, 0.14464062213951567, 1.032168417284283, 1.075082000906065, 1.0545877104467387]","[2.260846802121821, 0.15262676169183934, 1.075082000906065, 1.1193472099878061, 1.0965250865745417]","[2.3382721683822902, 0.17112928631139718, 1.1193472099878061, 1.1779574982259864, 1.1454999199280806]","[2.4285107509419506, 0.1669099742402749, 1.1779574982259864, 1.2747341834046353, 1.2199716841050983]","[2.609124433523662, 0.18356060478526232, 1.2747341834046353, 2.1431243663337374, 1.4158495789273176]"
10.4780,"[1.5780226443370449, 0.16813798677290603, 0.5476442091949749, 0.7318636493939759, 0.6661235728788371]","[1.8269105319891634, 0.11539149310750368, 0.7318636493939759, 0.8082874444955592, 0.7714223373637921]","[1.950529317512252, 0.10482708209667557, 0.8082874444955592, 0.8637939491851374, 0.8374187671777863]","[2.0186181705809294, 0.11188328005180721, 0.8637939491851374, 0.9130956995077962, 0.8891816387822977]","[2.0822096483158883, 0.1482758605619473, 0.9130956995077962, 0.9590686365149996, 0.9369692787326855]","[2.137599492514098, 0.13669036695656195, 0.9590686365149996, 0.9963931958974962, 0.9783091451767902]","[2.167222474007722, 0.11516477048332213, 0.9963931958974962, 1.0328545517663914, 1.0137908771981277]","[2.241986510649741, 0.1470125485672514, 1.0328545517663914, 1.075655024215946, 1.0549491741194366]","[2.2836225007812763, 0.15717656411683237, 1.075655024215946, 1.1204224920829486, 1.0974167303796667]","[2.3811166533225787, 0.17662716018685576, 1.1204224920829486, 1.1802683487187193, 1.1468651122732894]","[2.4544220615444603, 0.177734252223158, 1.1802683487187193, 1.2787290631870531, 1.2223959626233165]","[2.649875856657453, 0.22069823710334027, 1.2787290631870531, 2.160341210946401, 1.421016326590641]"
10.2900,"[1.623788751536664, 0.18163335744150436, 0.5443697371326731, 0.72934812766854, 0.6629358603599415]","[1.876195419794883, 0.12450447883499463, 0.72934812766854, 0.806452068181094, 0.7688210690802884]","[1.995560852466023, 0.11428021805012889, 0.806452068181094, 0.8618612712884217, 0.8354168642089339]","[2.071511986175214, 0.1453929482426532, 0.8618612712884217, 0.9118258309052142, 0.8877751090655525]","[2.125275329770264, 0.13155351643152047, 0.9118258309052142, 0.958985837960331, 0.9360175076189546]","[2.1875940648480396, 0.15646153205232094, 0.958985837960331, 0.9962254956604017, 0.9778670912730267]","[2.2215098141171987, 0.132786727669169, 0.9962254956604017, 1.0338119087969817, 1.013891793250576]","[2.301772365955667, 0.15141525190489072, 1.0338119087969817, 1.0760172767536862, 1.055306090670198]","[2.3385252625663755, 0.15799518510608426, 1.0760172767536862, 1.1215985028413578, 1.0983975942475184]","[2.420396128537824, 0.1758239590396924, 1.1215985028413578, 1.1816761006738448, 1.1480498947463327]","[2.5104638984658223, 0.18826986957153455, 1.1816761006738448, 1.2824327678563203, 1.2247527731539236]","[2.7378986734381168, 0.23650174526050263, 1.2824327678563203, 2.1962885928109985, 1.4269215352395797]"
10.1100,"[1.6611514446456985, 0.16761298204575226, 0.5413008902952853, 0.7272853011175651, 0.6599131189101757]","[1.9156854284246614, 0.12145476580307804, 0.7272853011175651, 0.8039027641682118, 0.7663514295206694]","[2.0377872984387815, 0.11693294833063045, 0.8039027641682118, 0.8610243844318533, 0.8336060600429283]","[2.116997633516748, 0.1464175355425124, 0.8610243844318533, 0.9111503368129066, 0.8865047436051837]","[2.1736537731717647, 0.15078682404990362, 0.9111503368129066, 0.9573426570461464, 0.9352433890918624]","[2.2242878208022887, 0.15638565643922211, 0.9573426570461464, 0.9962391098149574, 0.9775338358718002]","[2.267054415489717, 0.1401012531304439, 0.9962391098149574, 1.0338050169795088, 1.0141319570160168]","[2.3431424555392537, 0.15278476710993596, 1.0338050169795088, 1.0776963158981543, 1.0558430215272137]","[2.4001952197864753, 0.18979023714141355, 1.0776963158981543, 1.1227955365240705, 1.0994978721899842]","[2.459386628040971, 0.18752041258171198, 1.1227955365240705, 1.1830500023108583, 1.1494991467076905]","[2.543378395801704, 0.19711544815686352, 1.1830500023108583, 1.2848225790790573, 1.2271380041836406]","[2.740463959767247, 0.20909968645802368, 1.2848225790790573, 2.2051063609662527, 1.431077791212419]"
9.9380,"[1.7084088169042937, 0.17849957126863597, 0.5382283833307014, 0.7241558689958234, 0.6568933091073971]","[1.9636803161975807, 0.1394105588319692, 0.7241558689958234, 0.8022173115773539, 0.7638204968335304]","[2.085895020367696, 0.1374230405999643, 0.8022173115773539, 0.8597518350821975, 0.8317309486058689]","[2.1558045834323933, 0.15536322958399326, 0.8597518350821975, 0.9098606059038461, 0.8851255889659981]","[2.2140137140270695, 0.14967655492206186, 0.9098606059038461, 0.9565167709904543, 0.9342999369372396]","[2.2628425067297857, 0.16941884900117193, 0.9565167709904543, 0.9955839080444122, 0.977057349792429]","[2.301754653307477, 0.13742983712455714, 0.9955839080444122, 1.0342223090452671, 1.0141715427956455]","[2.3940710778470806, 0.1852286634224509, 1.0342223090452671, 1.0779887812222628, 1.0561697896753204]","[2.441897737141226, 0.20071392512299233, 1.0779887812222628, 1.1235192057415746, 1.1004065521287834]","[2.5081585319454573, 0.19449723397264856, 1.1235192057415746, 1.1851146824273182, 1.1508598309745277]","[2.602866165348844, 0.19519444420631824, 1.1851146824273182, 1.2857982267224997, 1.2296692894778793]","[2.8027282029381033, 0.23606658772656824, 1.2857982267224997, 2.22826268221495, 1.4365844797824565]"
9.7710,"[1.7241671428250547, 0.16862307641025223, 0.5353282735406614, 0.7205185127560385, 0.6540678076182522]","[1.9689651162379334, 0.12140478890808072, 0.7205185127560385, 0.8002220743396542, 0.7614071296630267]","[2.0856916035231317, 0.11690035531787513, 0.8002220743396542, 0.8586995440755568, 0.8299148211307821]","[2.168137508785983, 0.15162606554084856, 0.8586995440755568, 0.9086933402376826, 0.8838115785089729]","[2.215765108518232, 0.1431841694417655, 0.9086933402376826, 0.9559528364860471, 0.9333361721274098]","[2.283196043733842, 0.17355846601466474, 0.9559528364860471, 0.9957668733502509, 0.9766478726268886]","[2.320643019157576, 0.14636020480357198, 0.9957668733502509, 1.0344017113540822, 1.0142677364297308]","[2.4049306100078467, 0.169244003158025, 1.0344017113540822, 1.0789233211616283, 1.0563710664709287]","[2.4660639598396945, 0.1953699935541394, 1.0789233211616283, 1.124302794083904, 1.1012407478460147]","[2.533887764633667, 0.2029078013484097, 1.124302794083904, 1.1873816926409504, 1.1519950850327432]","[2.6237877523975746, 0.21233626428656005, 1.1873816926409504, 1.2905317478948153, 1.231831932326816]","[2.849353602126048, 0.262468007495779, 1.2905317478948153, 2.2474076881306364, 1.4416745056674]"
9.6110,"[1.8001597378552872, 0.2082534308257595, 0.5322798924597452, 0.7177303003610143, 0.6510478078768634]","[2.0516074441397625, 0.1506941171999739, 0.7177303003610143, 0.7979076280329638, 0.7588928875896739]","[2.153884707370515, 0.12000616868998627, 0.7979076280329638, 0.857779743250554, 0.8280299197892643]","[2.2340672110893784, 0.16396040864238257, 0.857779743250554, 0.9074630634445704, 0.8824521372487328]","[2.2724198973255474, 0.132459895354717, 0.9074630634445704, 0.9557804600028574, 0.932340265502926]","[2.3411472589282547, 0.17027829557052934, 0.9557804600028574, 0.9957388013448356, 0.976159033002989]","[2.3853649271769073, 0.15110745002727874, 0.9957388013448356, 1.0346194446128971, 1.0143266702943774]","[2.473308823060869, 0.17468041106283916, 1.0346194446128971, 1.079271451433693, 1.05679634663785]","[2.537103192109758, 0.1940624391277838, 1.079271451433693, 1.1254123809709802, 1.102298275807132]","[2.6015136083372297, 0.1894076350290306, 1.1254123809709802, 1.1903504994139555, 1.1535368946263413]","[2.709104231794481, 0.17326608664228166, 1.1903504994139555, 1.2962374615456564, 1.2346560129449238]","[2.9167494903170215, 0.2120732194868286, 1.2962374615456564, 2.2592366656490976, 1.4470846051616681]"
9.4570,"[1.8260954266360245, 0.1893416268102041, 0.5295559968821377, 0.7153740386046913, 0.6482717831601512]","[2.077541730465484, 0.1340743747504413, 0.7153740386046913, 0.7957636888698024, 0.7565545575450122]","[2.186845692257274, 0.1304079913371359, 0.7957636888698024, 0.8549405807929644, 0.8263567230585971]","[2.272974897095368, 0.17049816669028403, 0.8549405807929644, 0.9063543635459047, 0.8812404009561497]","[2.318699901671843, 0.15726456665246846, 0.9063543635459047, 0.955251730932749, 0.9316286730505391]","[2.386650139110615, 0.1789494546417778, 0.955251730932749, 0.995755832324475, 0.9759479443909063]","[2.4278539295259596, 0.15498238750497972, 0.995755832324475, 1.0348127477519449, 1.0145240022528301]","[2.506912642226118, 0.1745762688337265, 1.0348127477519449, 1.0795176081168945, 1.0572507608067927]","[2.5620301154968343, 0.19758431411908872, 1.0795176081168945, 1.126663756707719, 1.1031393629970196]","[2.6306241136045103, 0.19042597375079381, 1.126663756707719, 1.192253790138437, 1.1548658988550027]","[2.7232713924301075, 0.19587750013780714, 1.192253790138437, 1.2973019041721523, 1.236715139095117]","[2.9167797199014136, 0.22116157791141855, 1.2973019041721523, 2.2649211612008378, 1.4510119536273056]"
9.3080,"[1.836979641846442, 0.1683219433068782, 0.5267091931681007, 0.7127443221686531, 0.6454370502380178]","[2.0830638244242157, 0.11751149659527357, 0.7127443221686531, 0.7930968542435862, 0.7541146049055585]","[2.2137168156965448, 0.13694595687643207, 0.7930968542435862, 0.852654686159681, 0.8245330533601019]","[2.3003784562752156, 0.16508793835136357, 0.852654686159681, 0.9054791218051754, 0.8799173738310223]","[2.353949384124412, 0.16192513231188466, 0.9054791218051754, 0.9544611639829198, 0.9307471078721666]","[2.422631052642054, 0.17909842048306676, 0.9544611639829198, 0.9951786143249417, 0.9754935624979151]","[2.476363117420332, 0.1663514192147398, 0.9951786143249417, 1.0349624424949897, 1.0146068147643088]","[2.5491127265456877, 0.17933767188259825, 1.0349624424949897, 1.0805156830670144, 1.0577000482387517]","[2.6131069148491832, 0.19707956736135956, 1.0805156830670144, 1.1288009588085794, 1.1040090707948185]","[2.6741714828768064, 0.1976241332956197, 1.1288009588085794, 1.1947492378308466, 1.1562140142102435]","[2.781378397485225, 0.197824393947304, 1.1947492378308466, 1.3004203628654023, 1.2392855774995917]","[2.967039957628213, 0.2104459761281156, 1.3004203628654023, 2.284519286793395, 1.4562571561943476]"
9.1640,"[1.8877784996435372, 0.18022444764259865, 0.5236912175976352, 0.7101523479992119, 0.6425609792184953]","[2.141207281717947, 0.1246591594500277, 0.7101523479992119, 0.7906852419327832, 0.7517504157185916]","[2.2741926752184614, 0.14688891511021554, 0.7906852419327832, 0.8515412840241976, 0.8227211818395715]","[2.366354982176542, 0.1830847120274346, 0.8515412840241976, 0.9049651486612882, 0.8786254850992642]","[2.3999978940263467, 0.15954578641305994, 0.9049651486612882, 0.9537223233833528, 0.9297419841789673]","[2.4754551457888923, 0.20597814455424698, 0.9537223233833528, 0.9952162318084111, 0.9750458948962677]","[2.5372856654569054, 0.1800134913223623, 0.9952162318084111, 1.03470207039909, 1.0146447214685959]","[2.5899243973792054, 0.1873009574155134, 1.03470207039909, 1.0814053996708828, 1.0579250533663682]","[2.661649675336257, 0.20675096708268964, 1.0814053996708828, 1.1286812270045674, 1.104745164317617]","[2.7200031223309287, 0.21355851239524956, 1.1286812270045674, 1.1960616356120792, 1.157479739068188]","[2.834108972109747, 0.21013879997988263, 1.1960616356120792, 1.304454227023345, 1.2416809991350375]","[3.0304981156132684, 0.21104776732860744, 1.304454227023345, 2.3114744239346416, 1.4619588128129675]"
9.0260,"[1.9197185151833176, 0.18289963081969282, 0.5210909291115697, 0.7071114996929757, 0.6398904871214088]","[2.1401525332076554, 0.12566994826673325, 0.7071114996929757, 0.7886802142908564, 0.7494616659996874]","[2.2797046173363333, 0.1422794633873886, 0.7886802142908564, 0.8501077298641634, 0.8209570870863099]","[2.3687992056943568, 0.20341505913382318, 0.8501077298641634, 0.9040172979139112, 0.877313192492151]","[2.4178351051896048, 0.161948883670113, 0.9040172979139112, 0.9523537093053922, 0.928805509363697]","[2.484630641286272, 0.19253637896260936, 0.9523537093053922, 0.9950041583527834, 0.9744444062446479]","[2.5649113475650958, 0.1873608169926733, 0.9950041583527834, 1.0342025276289262, 1.0146361393177978]","[2.618367870238944, 0.19295167455000542, 1.0342025276289262, 1.08205810369908, 1.0583382226727105]","[2.685875499163653, 0.20644466497312516, 1.08205810369908, 1.1290000318704285, 1.1055195914004439]","[2.749986207167639, 0.21240235079249375, 1.1290000318704285, 1.1986683544967742, 1.1587016159289474]","[2.8629522733011754, 0.21977835877082358, 1.1986683544967742, 1.3073947991455253, 1.2438256937837897]","[3.0786284790684153, 0.2492229483639405, 1.3073947991455253, 2.33994475387128, 1.4670714597383643]"
