,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11
18.5400,"[0.3947699197862014, 0.06298646222393758, 0.6642298543624083, 0.819446470921757, 0.7671606548417449]","[0.4981854001791386, 0.05649483590098081, 0.819446470921757, 0.8729343530140544, 0.848082721495331]","[0.5579329648393265, 0.0710326859320432, 0.8729343530140544, 0.9131406761352219, 0.8934274985483288]","[0.5923937704378116, 0.06287650948867436, 0.9131406761352219, 0.9446478121084366, 0.928167490512445]","[0.6328013589525379, 0.06731514331164165, 0.9446478121084366, 0.9757388269640085, 0.9606102350623945]","[0.6567147995868112, 0.06943163471482162, 0.9757388269640085, 0.9985437360733013, 0.9872863647896603]","[0.6914516426814581, 0.05886902023676569, 0.9985437360733013, 1.0244440359492808, 1.0108112446938473]","[0.7343157100788879, 0.06984048917325958, 1.0244440359492808, 1.0522804749124242, 1.0386825703282148]","[0.7630028015661517, 0.06298223437501498, 1.0522804749124242, 1.0801495508259709, 1.065706141797421]","[0.8158913965204948, 0.07201524986535505, 1.0801495508259709, 1.1186548328924146, 1.10065626529926]","[0.8720380167842464, 0.07745537905068024, 1.1186548328924146, 1.1837292323405302, 1.1474510938939246]","[0.9999469397594621, 0.09489714004697096, 1.1837292323405302, 1.7185205414406077, 1.2754726333543807]"
17.8480,"[0.44257383865625355, 0.07259406506056745, 0.6556686380225003, 0.8131296045045412, 0.7602973745684957]","[0.5633032267616058, 0.06360469402752399, 0.8131296045045412, 0.8691324038319597, 0.8431186447288151]","[0.6345335410101691, 0.0816862405111712, 0.8691324038319597, 0.9098168749297526, 0.88980243253004]","[0.6717314795091087, 0.06801481478847768, 0.9098168749297526, 0.9425556687340872, 0.9255887265981939]","[0.7178098887287298, 0.075200756106914, 0.9425556687340872, 0.9747930044353105, 0.9590999319519122]","[0.7451693064376294, 0.07457744093614495, 0.9747930044353105, 0.9981007194290679, 0.9867355669334769]","[0.7858037169464498, 0.0723467562533601, 0.9981007194290679, 1.0244379170211724, 1.0109399747892915]","[0.8342539276999805, 0.08019499525535341, 1.0244379170211724, 1.05368315533065, 1.0397911051685418]","[0.8645613450466848, 0.07339580425300155, 1.05368315533065, 1.0824164484662138, 1.0677400830045995]","[0.9184561253288731, 0.07738876282260085, 1.0824164484662138, 1.1218927449643648, 1.1039257078347677]","[0.9803935269507159, 0.08263544463220185, 1.1218927449643648, 1.1906358943454034, 1.1523498790031088]","[1.1172492988755407, 0.10340131046765756, 1.1906358943454034, 1.7474338698123824, 1.2851812555062645]"
17.2150,"[0.4951369688429333, 0.08545833901579786, 0.647549462328628, 0.807009475987666, 0.7537485946786912]","[0.6328207825105396, 0.0722391502207203, 0.807009475987666, 0.86554189144262, 0.8383807981823185]","[0.7113828956056037, 0.08920447540697016, 0.86554189144262, 0.9071816843566674, 0.8863198454070137]","[0.7518087733670584, 0.07210159761380798, 0.9071816843566674, 0.94093896390836, 0.9231289255341872]","[0.8027819135616457, 0.08033100834716449, 0.94093896390836, 0.9739670562849965, 0.9576614518012762]","[0.8311612914275434, 0.07733726148186842, 0.9739670562849965, 0.9979427306008366, 0.9862152605137507]","[0.8743168837468704, 0.06942397503864438, 0.9979427306008366, 1.0248343523123127, 1.0110533015902876]","[0.9226938566802699, 0.078084007791394, 1.0248343523123127, 1.0556406674578749, 1.0408406794796539]","[0.9610662093614576, 0.07578427018723882, 1.0556406674578749, 1.0846895613810934, 1.069694739231738]","[1.0167664676096384, 0.0765684171150555, 1.0846895613810934, 1.125831824276468, 1.1070728688514921]","[1.07907070436276, 0.08443797249309291, 1.125831824276468, 1.1974049911179392, 1.1570273805860605]","[1.2172208339949857, 0.09682762651848835, 1.1974049911179392, 1.7753957663392617, 1.2944189613467274]"
16.6330,"[0.551136218578951, 0.09463898948820633, 0.6398422528549443, 0.8011234624631138, 0.7474908530754588]","[0.7024547027648484, 0.07373048000306347, 0.8011234624631138, 0.8620198225615368, 0.833845576008664]","[0.7869388623045372, 0.09124092221331911, 0.8620198225615368, 0.9042071039562976, 0.882983842316225]","[0.8364137395504158, 0.07583845974989968, 0.9042071039562976, 0.9389124706226647, 0.9207677383912196]","[0.8853071561015197, 0.0837038142465784, 0.9389124706226647, 0.9729840826505898, 0.9562764071809429]","[0.9208631615562529, 0.07941779173076312, 0.9729840826505898, 0.9979200814543177, 0.9857413505189074]","[0.9651691379465841, 0.07228561201330609, 0.9979200814543177, 1.02536775417893, 1.011147443118986]","[1.0187217645283848, 0.08244799961571311, 1.02536775417893, 1.0571393182019466, 1.0418868634386944]","[1.0540551326901542, 0.07386953625664791, 1.0571393182019466, 1.0869786525766698, 1.07157688234367]","[1.1149511106881733, 0.07834533908458863, 1.0869786525766698, 1.1298611387431698, 1.1100939763798676]","[1.1806229486312603, 0.0866159771785022, 1.1298611387431698, 1.2037676793477494, 1.1614832517487423]","[1.3239732957508827, 0.09887576552136321, 1.2037676793477494, 1.8007173781618742, 1.3031811030532954]"
16.0950,"[0.605579545740825, 0.10305115955997678, 0.6325534817511018, 0.7957381201803004, 0.7415198915068074]","[0.7749500096926387, 0.08627110055319441, 0.7957381201803004, 0.8572237486102051, 0.8294967407563868]","[0.8679394356089477, 0.09457682678380071, 0.8572237486102051, 0.9015298608803322, 0.8797600493659825]","[0.916945754839053, 0.07923729700754797, 0.9015298608803322, 0.9374329803750231, 0.9185042196812482]","[0.9700295335130891, 0.0847655248674562, 0.9374329803750231, 0.9718843109031015, 0.9549881450636437]","[1.0060832541404898, 0.08164068809876159, 0.9718843109031015, 0.998078205099472, 0.9852794780807071]","[1.0509990869286956, 0.0732095322728845, 0.998078205099472, 1.026128425928358, 1.0112391390851014]","[1.106064190695037, 0.08254169548953379, 1.026128425928358, 1.0588104263076725, 1.0428737745948888]","[1.1436790317053456, 0.07740355679752094, 1.0588104263076725, 1.089110586668781, 1.0733841763198984]","[1.204929754539422, 0.07917094434784207, 1.089110586668781, 1.1336525453620794, 1.1129404229537083]","[1.2649636183714212, 0.08658232738430598, 1.1336525453620794, 1.2096543765456838, 1.1657125005232822]","[1.407128889854106, 0.10148343404675236, 1.2096543765456838, 1.8248327807891842, 1.31142837381883]"
15.5960,"[0.6614307619237455, 0.11051590543480272, 0.6256361971851042, 0.7913154161476401, 0.7358372899537696]","[0.8448279090780227, 0.08988182916389678, 0.7913154161476401, 0.8528471616640998, 0.8253573010486097]","[0.9374914793050297, 0.09066269035668019, 0.8528471616640998, 0.8991607800752386, 0.8766680235311128]","[0.993838367896129, 0.08077876384692792, 0.8991607800752386, 0.9356088517986899, 0.9163495862634304]","[1.0490486003731918, 0.09066791104480464, 0.9356088517986899, 0.9705609686102897, 0.9537449401841224]","[1.0860133831458683, 0.08524561920105958, 0.9705609686102897, 0.9979059527564985, 0.9848302144329935]","[1.127600293972622, 0.0730503206743419, 0.9979059527564985, 1.0264699703986937, 1.0113396681472273]","[1.1882047711265147, 0.083488573561257, 1.0264699703986937, 1.0598735156203551, 1.0438252950843097]","[1.226765576141705, 0.07988456368076052, 1.0598735156203551, 1.0911814045257906, 1.0751244378472091]","[1.2926653583118795, 0.08539170441939363, 1.0911814045257906, 1.1369148717661561, 1.115645762872767]","[1.3500487313354257, 0.08952273343782115, 1.1369148717661561, 1.2149333373238338, 1.1697876848792308]","[1.4996150342366337, 0.10718151248027968, 1.2149333373238338, 1.8483365285494957, 1.3193403197994864]"
15.1320,"[0.7233800101938795, 0.1193708477836701, 0.6190878515193489, 0.7872898685172429, 0.7303932367669711]","[0.9198239738350412, 0.0951705489085157, 0.7872898685172429, 0.8494277554042099, 0.8213548920387176]","[1.0134239797657203, 0.093021882241848, 0.8494277554042099, 0.8965504624627355, 0.8737256237786778]","[1.0687640388950423, 0.08062689543032435, 0.8965504624627355, 0.9337392892772973, 0.914273127229575]","[1.1303441158133747, 0.0894732240709338, 0.9337392892772973, 0.9697443868563825, 0.9525441173147614]","[1.1691694511744346, 0.08687238827471103, 0.9697443868563825, 0.9980060029449778, 0.9844302188806096]","[1.2104350851380312, 0.0745019326037815, 0.9980060029449778, 1.0264107496927648, 1.0114555227798834]","[1.2752528436103578, 0.08842461956479084, 1.0264107496927648, 1.0610557030515924, 1.044749965670068]","[1.3139663563639696, 0.08236951167808537, 1.0610557030515924, 1.0931845064607455, 1.076819885530655]","[1.387194611934943, 0.09416799108610628, 1.0931845064607455, 1.140591943597494, 1.118251588744342]","[1.4438364825014693, 0.09849055815478759, 1.140591943597494, 1.2206826542645886, 1.1737763345065773]","[1.5845063055456436, 0.10473408749220714, 1.2206826542645886, 1.8706907980444936, 1.3268998403055463]"
14.6990,"[0.7840699039482275, 0.1305463988772029, 0.6128742724557418, 0.7824175683988693, 0.725157679781637]","[0.9962348455626986, 0.10341488483552884, 0.7824175683988693, 0.8460484174461574, 0.8174708379456104]","[1.094159549385805, 0.09481723055828073, 0.8460484174461574, 0.8944346169568851, 0.8708678669961745]","[1.1519640839509668, 0.08513590493755689, 0.8944346169568851, 0.9319530389543952, 0.9122849238916407]","[1.2110117657815491, 0.09360829156762425, 0.9319530389543952, 0.9688592850460411, 0.9513770292533066]","[1.2555774707542025, 0.09559756823096245, 0.9688592850460411, 0.9978914569003375, 0.984018116696083]","[1.2951093224123582, 0.08043431530058529, 0.9978914569003375, 1.0270818805055562, 1.0115525147980908]","[1.3599876352030085, 0.09304424607379991, 1.0270818805055562, 1.0618286361226255, 1.0456085048633776]","[1.3958598572677505, 0.0820069157077451, 1.0618286361226255, 1.0954876531741709, 1.0784397232653524]","[1.4742620301838765, 0.1022349576646791, 1.0954876531741709, 1.1438774860159144, 1.120662178559031]","[1.5291464347548607, 0.10432376767296125, 1.1438774860159144, 1.2251278104925594, 1.1775771612944026]","[1.6838125299216276, 0.11312181753055071, 1.2251278104925594, 1.8916666646481495, 1.334222738799296]"
14.2940,"[0.8438397698743815, 0.13352385656627264, 0.6069537221393059, 0.7780428567001793, 0.7201800314871005]","[1.067181436035986, 0.10705386882088026, 0.7780428567001793, 0.8428775095084152, 0.8137286589187765]","[1.1609876848731377, 0.08969403528710816, 0.8428775095084152, 0.8923821107407449, 0.868156647891707]","[1.2244726073282373, 0.08529552189927135, 0.8923821107407449, 0.9306808234830852, 0.9103902170775888]","[1.2858686921167013, 0.09503024125388401, 0.9306808234830852, 0.9680389092383955, 0.9502802319555563]","[1.33176804464151, 0.09277971753981716, 0.9680389092383955, 0.9985160003271887, 0.9836151887334987]","[1.3666042157490033, 0.07637851036629759, 0.9985160003271887, 1.0272843315702849, 1.0116869001459003]","[1.4341422900079577, 0.08801687402048704, 1.0272843315702849, 1.0634782437735242, 1.0464669820869725]","[1.4733579131691832, 0.08765875165656184, 1.0634782437735242, 1.0977896883948588, 1.0800169778994673]","[1.5468016927606096, 0.09375709201289739, 1.0977896883948588, 1.146467337241636, 1.122925022897223]","[1.5961879728897397, 0.09522392214053654, 1.146467337241636, 1.2298599957717902, 1.181237283464775]","[1.7478263583250335, 0.10935947596237186, 1.2298599957717902, 1.9104054817533656, 1.3409419157548643]"
13.9140,"[0.900101745349935, 0.1363341466146178, 0.601368516942095, 0.7745832002803721, 0.7154201742350939]","[1.129223179371424, 0.10439755868836795, 0.7745832002803721, 0.8394490934369927, 0.810100375502528]","[1.2271120503232569, 0.08898686751526363, 0.8394490934369927, 0.8899089390669064, 0.8655763281626158]","[1.293537839752338, 0.08620958510636949, 0.8899089390669064, 0.929260450421507, 0.908563987717049]","[1.3514085011831574, 0.09334588676464511, 0.929260450421507, 0.9675886230028068, 0.9492093764272128]","[1.3948369417959465, 0.10106783748372557, 0.9675886230028068, 0.9980125982571454, 0.9831920842668337]","[1.434566984263031, 0.07388001620917174, 0.9980125982571454, 1.027248868042979, 1.0118049836514376]","[1.5042286624526355, 0.10708968430551956, 1.027248868042979, 1.0651672996717045, 1.0472710238111569]","[1.5401153521108077, 0.10124935305710084, 1.0651672996717045, 1.0996277057863726, 1.0815041742284397]","[1.6107584479378403, 0.1122666923278509, 1.0996277057863726, 1.149468601744606, 1.125002339966808]","[1.6693380305182355, 0.12588231475716652, 1.149468601744606, 1.2341575075684093, 1.1847752456637997]","[1.8283506917293482, 0.1295487897908637, 1.2341575075684093, 1.9295642895961154, 1.3474906275360652]"
