# z	a	b	c	err_a	err_b	err_c
43.619	-5.7163e-02	2.0976e-01	9.1924e-01	3.7404e-02	7.5089e-02	3.7665e-02
38.919	-5.9023e-02	2.4378e-01	9.0884e-01	3.9377e-02	7.9161e-02	3.9759e-02
31.137	-3.1663e-02	2.9917e-01	8.9209e-01	4.8980e-02	9.8861e-02	4.9837e-02
30.000	-1.0074e-02	2.8878e-01	8.9681e-01	5.2464e-02	1.0599e-01	5.3472e-02
27.900	3.9925e-02	2.7725e-01	8.9660e-01	6.2808e-02	1.2713e-01	6.4253e-02
26.124	1.4075e-01	2.0035e-01	9.1909e-01	7.7095e-02	1.5636e-01	7.9175e-02
24.597	2.2829e-01	1.9612e-01	8.9414e-01	9.5803e-02	1.9470e-01	9.8784e-02
23.268	3.4163e-01	1.9078e-01	8.5895e-01	1.1806e-01	2.4045e-01	1.2224e-01
22.100	4.3543e-01	2.7417e-01	7.7241e-01	1.4104e-01	2.8788e-01	1.4665e-01
21.062	5.1905e-01	4.3627e-01	6.3864e-01	1.6431e-01	3.3609e-01	1.7156e-01
20.134	5.0077e-01	8.2589e-01	3.9969e-01	1.9044e-01	3.9036e-01	1.9965e-01
19.298	5.4198e-01	1.1667e+00	1.7456e-01	2.1781e-01	4.4737e-01	2.2924e-01
18.540	3.8146e-01	1.8407e+00	-1.6662e-01	2.3000e-01	4.7332e-01	2.4298e-01
17.848	6.4276e-02	2.9042e+00	-7.0526e-01	2.6976e-01	5.5618e-01	2.8601e-01
17.215	-1.5238e-01	3.7552e+00	-1.1257e+00	2.6960e-01	5.5683e-01	2.8680e-01
16.633	-2.4837e-01	4.4151e+00	-1.4501e+00	2.9244e-01	6.0492e-01	3.1199e-01
16.095	-7.1008e-01	5.6595e+00	-1.9876e+00	3.0309e-01	6.2778e-01	3.2416e-01
15.596	-4.1733e-01	5.5602e+00	-1.9261e+00	3.3888e-01	7.0284e-01	3.6335e-01
15.132	-9.0718e-01	6.9996e+00	-2.5853e+00	3.7391e-01	7.7644e-01	4.0182e-01
14.699	-1.0786e+00	7.8501e+00	-2.9396e+00	4.1650e-01	8.6591e-01	4.4858e-01
14.294	-1.5854e+00	9.0816e+00	-3.3833e+00	4.1639e-01	8.6642e-01	4.4915e-01
13.914	-6.7007e-01	7.9532e+00	-2.8656e+00	6.1681e-01	1.2847e+00	6.6655e-01
13.557	-2.0944e+00	1.0974e+01	-4.0980e+00	4.7676e-01	9.9376e-01	5.1589e-01
13.221	-1.7859e+00	1.0877e+01	-3.9306e+00	5.5355e-01	1.1549e+00	6.0004e-01
12.903	-2.5843e+00	1.2977e+01	-4.8669e+00	5.9631e-01	1.2450e+00	6.4714e-01
