# z	a	b	c	err_a	err_b	err_c
12.603	-1.8629e+00	1.2094e+01	-4.3957e+00	6.2968e-01	1.3160e+00	6.8468e-01
12.318	-4.8466e-01	9.7298e+00	-3.1182e+00	6.5112e-01	1.3623e+00	7.0938e-01
12.048	-7.7623e-01	1.0839e+01	-3.4793e+00	6.6645e-01	1.3957e+00	7.2739e-01
11.791	-2.3368e+00	1.4400e+01	-5.0829e+00	7.4714e-01	1.5652e+00	8.1589e-01
11.546	-8.7154e-01	1.2368e+01	-4.1081e+00	8.3184e-01	1.7448e+00	9.1052e-01
11.313	-6.2184e-01	1.2199e+01	-3.7845e+00	8.9383e-01	1.8767e+00	9.8014e-01
11.090	-5.9993e-01	1.2707e+01	-3.9567e+00	9.0338e-01	1.8983e+00	9.9205e-01
10.877	-4.4958e-01	1.2431e+01	-3.5535e+00	8.8927e-01	1.8704e+00	9.7831e-01
10.673	-6.9347e-01	1.4569e+01	-4.7165e+00	1.1015e+00	2.3192e+00	1.2141e+00
10.478	1.1717e+00	1.1749e+01	-3.4429e+00	1.3469e+00	2.8390e+00	1.4876e+00
10.290	3.9860e+00	7.1020e+00	-1.0898e+00	1.3730e+00	2.8982e+00	1.5206e+00
10.110	1.5303e+00	1.1665e+01	-2.7724e+00	1.2985e+00	2.7426e+00	1.4397e+00
9.938	5.0481e+00	6.0706e+00	-2.5814e-01	1.4764e+00	3.1245e+00	1.6431e+00
9.771	5.2804e+00	6.0387e+00	-1.6449e-01	1.5550e+00	3.2940e+00	1.7337e+00
9.611	3.2325e+00	1.1121e+01	-2.3942e+00	1.3453e+00	2.8518e+00	1.5017e+00
9.457	1.4367e+00	1.4647e+01	-3.7293e+00	1.4208e+00	3.0129e+00	1.5869e+00
9.308	3.4421e-01	1.7828e+01	-5.2415e+00	1.4625e+00	3.1055e+00	1.6376e+00
9.164	1.0525e+00	1.7049e+01	-4.5256e+00	1.6148e+00	3.4353e+00	1.8146e+00
9.026	3.9686e+00	1.2984e+01	-2.9589e+00	1.8378e+00	3.9165e+00	2.0720e+00
8.892	-7.7316e-01	2.2429e+01	-6.8027e+00	1.7278e+00	3.6849e+00	1.9508e+00
8.762	2.0398e+00	1.9077e+01	-5.9348e+00	1.8878e+00	4.0343e+00	2.1394e+00
8.636	4.4481e+00	1.5006e+01	-3.5885e+00	1.8671e+00	3.9972e+00	2.1234e+00
8.515	4.6493e+00	1.6299e+01	-4.3771e+00	2.0051e+00	4.2968e+00	2.2843e+00
8.397	5.5570e+00	1.4019e+01	-2.7065e+00	2.3579e+00	5.0662e+00	2.7002e+00
8.283	4.8137e+00	1.6909e+01	-4.0364e+00	2.0509e+00	4.4125e+00	2.3544e+00
8.172	6.2567e+00	1.6329e+01	-4.2459e+00	2.3304e+00	5.0259e+00	2.6878e+00
8.064	4.7652e-01	2.6931e+01	-8.2847e+00	2.0747e+00	4.4740e+00	2.3917e+00
7.960	1.1448e+01	6.7786e+00	1.1589e+00	2.0312e+00	4.3954e+00	2.3577e+00
7.859	1.5212e-01	3.0390e+01	-9.9575e+00	2.4768e+00	5.3476e+00	2.8607e+00
7.760	4.4194e+00	2.2123e+01	-5.7884e+00	2.3154e+00	5.0144e+00	2.6903e+00
7.664	9.0291e+00	1.5906e+01	-3.1647e+00	2.5141e+00	5.4648e+00	2.9422e+00
7.570	1.8332e+00	2.8729e+01	-8.1815e+00	2.2975e+00	4.9951e+00	2.6898e+00
7.480	1.5332e+01	5.1783e+00	2.1989e+00	2.8471e+00	6.2366e+00	3.3834e+00
7.391	-3.8106e-01	3.6349e+01	-1.1802e+01	2.4528e+00	5.3448e+00	2.8828e+00
7.305	7.7386e+00	2.2502e+01	-5.6160e+00	2.7110e+00	5.9382e+00	3.2190e+00
