# z	a	b	c	err_a	err_b	err_c
43.619	-6.7984e-02	2.2865e-01	9.1074e-01	2.9627e-02	5.9488e-02	2.9840e-02
38.919	-6.9533e-02	2.6146e-01	9.0109e-01	3.1115e-02	6.2573e-02	3.1431e-02
31.137	-4.3355e-02	3.1672e-01	8.8510e-01	3.8376e-02	7.7525e-02	3.9104e-02
30.000	-2.5389e-02	3.1251e-01	8.8710e-01	4.1016e-02	8.2942e-02	4.1875e-02
27.900	3.0361e-02	2.8744e-01	8.9417e-01	4.8948e-02	9.9201e-02	5.0185e-02
26.124	1.2380e-01	2.2125e-01	9.1264e-01	5.9909e-02	1.2170e-01	6.1696e-02
24.597	2.1066e-01	2.1291e-01	8.9152e-01	7.4510e-02	1.5172e-01	7.7089e-02
23.268	3.3362e-01	1.8465e-01	8.6835e-01	9.1387e-02	1.8654e-01	9.5003e-02
22.100	4.0605e-01	3.0252e-01	7.6724e-01	1.0904e-01	2.2314e-01	1.1391e-01
21.062	4.4866e-01	5.4075e-01	5.9706e-01	1.2775e-01	2.6210e-01	1.3411e-01
20.134	4.2703e-01	9.3375e-01	3.5625e-01	1.4779e-01	3.0396e-01	1.5589e-01
19.298	3.9563e-01	1.3967e+00	8.0330e-02	1.7645e-01	3.6379e-01	1.8699e-01
18.540	2.4787e-01	2.0499e+00	-2.5549e-01	1.7719e-01	3.6615e-01	1.8860e-01
17.848	-2.0441e-02	3.0201e+00	-7.5480e-01	2.0468e-01	4.2390e-01	2.1879e-01
17.215	-3.2762e-01	4.0418e+00	-1.2536e+00	2.1038e-01	4.3660e-01	2.2576e-01
16.633	-4.5102e-01	4.7415e+00	-1.5944e+00	2.2305e-01	4.6375e-01	2.4020e-01
16.095	-9.2832e-01	6.0241e+00	-2.1543e+00	2.3475e-01	4.8888e-01	2.5359e-01
15.596	-6.4619e-01	5.9213e+00	-2.0863e+00	2.6288e-01	5.4839e-01	2.8488e-01
15.132	-1.1777e+00	7.4018e+00	-2.7445e+00	2.8545e-01	5.9641e-01	3.1024e-01
14.699	-1.3896e+00	8.3230e+00	-3.1360e+00	3.1033e-01	6.4935e-01	3.3821e-01
14.294	-1.8400e+00	9.4677e+00	-3.5471e+00	3.1617e-01	6.6235e-01	3.4531e-01
13.914	-8.4416e-01	8.1791e+00	-2.9554e+00	5.1195e-01	1.0740e+00	5.6055e-01
13.557	-2.3631e+00	1.1395e+01	-4.2806e+00	3.6388e-01	7.6409e-01	3.9913e-01
13.221	-1.8937e+00	1.1035e+01	-4.0234e+00	4.1646e-01	8.7569e-01	4.5796e-01
12.903	-2.6198e+00	1.2990e+01	-4.8944e+00	4.5695e-01	9.6170e-01	5.0327e-01
12.603	-2.0604e+00	1.2296e+01	-4.4581e+00	4.8108e-01	1.0139e+00	5.3124e-01
12.318	-7.8531e-01	1.0006e+01	-3.1741e+00	4.9115e-01	1.0366e+00	5.4379e-01
12.048	-1.1664e+00	1.1455e+01	-3.7634e+00	5.1973e-01	1.0984e+00	5.7695e-01
11.791	-2.3186e+00	1.4211e+01	-4.9711e+00	5.9326e-01	1.2546e+00	6.5926e-01
11.546	-9.7039e-01	1.2284e+01	-4.0057e+00	6.4169e-01	1.3592e+00	7.1527e-01
11.313	-5.6490e-01	1.1933e+01	-3.6530e+00	7.2214e-01	1.5317e+00	8.0704e-01
11.090	-8.1028e-01	1.2661e+01	-3.8213e+00	6.9536e-01	1.4763e+00	7.7841e-01
10.877	-1.3731e+00	1.3838e+01	-4.1110e+00	6.8399e-01	1.4539e+00	7.6737e-01
10.673	-1.1912e+00	1.5246e+01	-4.9896e+00	8.4736e-01	1.8038e+00	9.5321e-01
10.478	-4.1779e-01	1.4441e+01	-4.6108e+00	1.0092e+00	2.1510e+00	1.1379e+00
10.290	3.6551e+00	7.6270e+00	-1.3658e+00	1.0227e+00	2.1854e+00	1.1590e+00
10.110	7.7369e-01	1.2677e+01	-3.1438e+00	9.9846e-01	2.1350e+00	1.1328e+00
9.938	3.3145e+00	8.8961e+00	-1.4549e+00	1.1399e+00	2.4431e+00	1.2991e+00
9.771	3.5042e+00	9.0874e+00	-1.6091e+00	1.1728e+00	2.5164e+00	1.3394e+00
9.611	1.6521e+00	1.3727e+01	-3.5373e+00	1.0712e+00	2.3011e+00	1.2258e+00
9.457	1.8892e-01	1.6173e+01	-4.1249e+00	1.1381e+00	2.4462e+00	1.3036e+00
9.308	-1.1638e+00	1.9919e+01	-5.9629e+00	1.1687e+00	2.5159e+00	1.3426e+00
9.164	-1.0225e+00	2.0876e+01	-6.3426e+00	1.2668e+00	2.7325e+00	1.4609e+00
9.026	1.5153e+00	1.6924e+01	-4.5459e+00	1.4368e+00	3.1056e+00	1.6634e+00
8.892	-1.3897e+00	2.2924e+01	-6.7930e+00	1.3865e+00	3.0023e+00	1.6108e+00
8.762	-2.6168e-02	2.2539e+01	-7.3934e+00	1.4973e+00	3.2489e+00	1.7462e+00
8.636	2.8582e+00	1.7394e+01	-4.5723e+00	1.4732e+00	3.2035e+00	1.7253e+00
8.515	3.8790e+00	1.7088e+01	-4.5336e+00	1.5176e+00	3.3063e+00	1.7837e+00
8.397	3.3972e+00	1.7618e+01	-4.2877e+00	1.7909e+00	3.9099e+00	2.1133e+00
8.283	2.9233e+00	1.9683e+01	-5.1060e+00	1.5801e+00	3.4551e+00	1.8701e+00
8.172	4.0334e+00	1.9275e+01	-5.1974e+00	1.7899e+00	3.9245e+00	2.1293e+00
8.064	-1.9118e+00	3.0511e+01	-9.6737e+00	1.5697e+00	3.4403e+00	1.8654e+00
7.960	4.9137e+00	1.7647e+01	-3.2938e+00	1.4765e+00	3.2460e+00	1.7654e+00
7.859	-1.5157e+00	3.2300e+01	-1.0348e+01	1.8848e+00	4.1345e+00	2.2420e+00
