# z	a	b	c	err_a	err_b	err_c
43.619	-4.8118e-02	1.8674e-01	9.3143e-01	1.7635e-02	3.5474e-02	1.7816e-02
38.919	-4.5211e-02	2.0992e-01	9.2650e-01	1.8559e-02	3.7408e-02	1.8818e-02
31.137	2.2472e-03	2.1949e-01	9.3318e-01	2.2971e-02	4.6561e-02	2.3534e-02
30.000	2.5763e-02	2.0294e-01	9.4146e-01	2.4562e-02	4.9847e-02	2.5221e-02
27.900	9.8579e-02	1.4024e-01	9.6765e-01	2.9281e-02	5.9584e-02	3.0217e-02
26.124	2.1247e-01	2.8071e-02	1.0097e+00	3.5676e-02	7.2798e-02	3.7006e-02
24.597	3.3964e-01	-6.7212e-02	1.0323e+00	4.4554e-02	9.1176e-02	4.6462e-02
23.268	4.7962e-01	-1.4302e-01	1.0360e+00	5.4563e-02	1.1198e-01	5.7206e-02
22.100	5.6576e-01	-6.4815e-02	9.5672e-01	6.5332e-02	1.3448e-01	6.8869e-02
21.062	6.5643e-01	6.2246e-02	8.4407e-01	7.6433e-02	1.5779e-01	8.1006e-02
20.134	6.7761e-01	3.5416e-01	6.5560e-01	8.8545e-02	1.8331e-01	9.4334e-02
19.298	6.7281e-01	7.5105e-01	4.1172e-01	1.0480e-01	2.1756e-01	1.1222e-01
18.540	4.6395e-01	1.4988e+00	3.7001e-02	1.0786e-01	2.2450e-01	1.1604e-01
17.848	2.7792e-01	2.3110e+00	-3.9272e-01	1.2541e-01	2.6170e-01	1.3555e-01
17.215	3.1756e-02	3.1806e+00	-8.0999e-01	1.2951e-01	2.7090e-01	1.4059e-01
16.633	-1.0130e-01	3.8802e+00	-1.1486e+00	1.3849e-01	2.9032e-01	1.5093e-01
16.095	-4.8516e-01	4.9874e+00	-1.6356e+00	1.4676e-01	3.0827e-01	1.6051e-01
15.596	-4.4464e-01	5.2989e+00	-1.7506e+00	1.5739e-01	3.3127e-01	1.7275e-01
15.132	-7.9433e-01	6.4213e+00	-2.2437e+00	1.7152e-01	3.6168e-01	1.8887e-01
14.699	-9.6439e-01	7.2358e+00	-2.5839e+00	1.9707e-01	4.1630e-01	2.1769e-01
14.294	-1.2781e+00	8.1475e+00	-2.9061e+00	1.9350e-01	4.0936e-01	2.1428e-01
13.914	-9.6050e-01	7.9434e+00	-2.7436e+00	2.4294e-01	5.1477e-01	2.6977e-01
13.557	-1.6225e+00	9.6800e+00	-3.4501e+00	2.3303e-01	4.9449e-01	2.5940e-01
13.221	-1.2166e+00	9.4683e+00	-3.2689e+00	2.7028e-01	5.7450e-01	3.0177e-01
12.903	-1.7011e+00	1.0829e+01	-3.8332e+00	2.8244e-01	6.0104e-01	3.1593e-01
12.603	-1.1442e+00	1.0094e+01	-3.3653e+00	3.1255e-01	6.6626e-01	3.5068e-01
12.318	-2.1492e-01	8.4799e+00	-2.4270e+00	3.0181e-01	6.4445e-01	3.3966e-01
12.048	-7.5507e-01	1.0178e+01	-3.1184e+00	3.2406e-01	6.9319e-01	3.6585e-01
11.791	-1.6183e+00	1.2294e+01	-4.0216e+00	3.6443e-01	7.8011e-01	4.1183e-01
11.546	-5.4928e-01	1.0835e+01	-3.2629e+00	4.0771e-01	8.7447e-01	4.6241e-01
11.313	-2.9051e-02	1.0200e+01	-2.7773e+00	4.5127e-01	9.6962e-01	5.1346e-01
11.090	-1.2540e+00	1.2931e+01	-3.9056e+00	4.4037e-01	9.4705e-01	5.0172e-01
10.877	-8.4493e-01	1.2119e+01	-3.2511e+00	4.4954e-01	9.6826e-01	5.1357e-01
10.673	-8.3539e-01	1.3753e+01	-4.2277e+00	5.0968e-01	1.0997e+00	5.8402e-01
10.478	1.5751e-01	1.2105e+01	-3.2964e+00	5.6398e-01	1.2189e+00	6.4821e-01
10.290	3.2947e+00	6.7234e+00	-6.6009e-01	5.8904e-01	1.2768e+00	6.8083e-01
10.110	3.7881e-01	1.2671e+01	-3.1959e+00	6.3108e-01	1.3690e+00	7.3017e-01
9.938	2.3985e+00	9.3770e+00	-1.5109e+00	6.9703e-01	1.5155e+00	8.0987e-01
9.771	3.3092e+00	8.3111e+00	-1.1799e+00	7.3483e-01	1.6008e+00	8.5681e-01
9.611	1.7797e+00	1.2003e+01	-2.5472e+00	6.7536e-01	1.4732e+00	7.8913e-01
9.457	-1.4983e-01	1.5892e+01	-4.0769e+00	7.2248e-01	1.5769e+00	8.4488e-01
9.308	-1.2080e+00	1.9206e+01	-5.8134e+00	7.4014e-01	1.6188e+00	8.6871e-01
9.164	-7.9014e-01	1.9196e+01	-5.5385e+00	8.1058e-01	1.7776e+00	9.5609e-01
9.026	1.5394e+00	1.5418e+01	-3.8650e+00	8.6969e-01	1.9124e+00	1.0311e+00
8.892	-1.5196e+00	2.2004e+01	-6.5228e+00	8.9940e-01	1.9804e+00	1.0688e+00
8.762	-2.2422e-01	2.0862e+01	-6.3853e+00	9.2455e-01	2.0411e+00	1.1038e+00
8.636	2.8266e+00	1.5491e+01	-3.5662e+00	9.0862e-01	2.0135e+00	1.0929e+00
8.515	2.6195e+00	1.6870e+01	-4.0860e+00	9.2107e-01	2.0449e+00	1.1115e+00
8.397	2.9170e+00	1.6518e+01	-3.6960e+00	1.0750e+00	2.3962e+00	1.3072e+00
8.283	3.0807e+00	1.7008e+01	-3.7083e+00	9.5619e-01	2.1361e+00	1.1674e+00
8.172	4.0451e+00	1.6336e+01	-3.5160e+00	1.0408e+00	2.3326e+00	1.2785e+00
8.064	-5.8007e-01	2.6168e+01	-7.8514e+00	9.9026e-01	2.2189e+00	1.2151e+00
7.960	5.8503e+00	1.3363e+01	-1.1920e+00	9.3140e-01	2.1010e+00	1.1584e+00
7.859	3.7455e-01	2.6065e+01	-7.4409e+00	1.1469e+00	2.5774e+00	1.4139e+00
7.760	2.5629e+00	2.1575e+01	-4.9450e+00	1.0271e+00	2.3193e+00	1.2783e+00
7.664	3.9489e+00	2.0351e+01	-4.0475e+00	1.2142e+00	2.7510e+00	1.5206e+00
7.570	-6.2018e-01	2.9853e+01	-8.4035e+00	1.2453e+00	2.8226e+00	1.5600e+00
7.480	8.0183e+00	1.3502e+01	-5.0876e-01	1.2479e+00	2.8676e+00	1.6074e+00
7.391	-1.4723e+00	3.4297e+01	-1.0440e+01	1.2915e+00	2.9378e+00	1.6275e+00
7.305	5.8941e-01	3.1480e+01	-9.1465e+00	1.1917e+00	2.7232e+00	1.5145e+00
