,a,b,c
30.000,0.26329,0.21589,0.067754
27.900,0.45177,0.27829,0.080847
26.124,0.70468,0.36073,0.096061
24.597,0.96422,0.46629,0.11425
23.268,1.2084,0.58862,0.13572
22.100,1.3135,0.72143,0.16118
21.062,1.3543,0.86327,0.19048
20.134,1.2544,0.9934,0.22293
19.298,1.1424,1.1201,0.25853
18.540,0.74874,1.1952,0.29525
17.848,0.44324,1.2873,0.3344
17.215,0.098753,1.3404,0.37312
16.633,-0.12945,1.3922,0.41191
16.095,-0.51429,1.4041,0.44921
15.596,-0.57499,1.4256,0.48411
15.132,-0.77884,1.4392,0.52071
14.699,-0.90259,1.4554,0.55765
14.294,-1.098,1.4301,0.58919
13.914,-0.96342,1.435,0.61882
13.557,-1.2053,1.4201,0.65397
13.221,-1.1298,1.4307,0.68528
12.903,-1.134,1.4262,0.71225
12.603,-0.98564,1.4182,0.7363
12.318,-0.84226,1.3945,0.75767
12.048,-0.92427,1.4,0.78818
11.791,-0.94177,1.3848,0.81218
11.546,-0.77321,1.3988,0.83497
11.313,-0.71967,1.3802,0.85881
11.090,-0.84436,1.3557,0.87728
10.877,-0.59208,1.3051,0.89321
10.673,-0.51377,1.3939,0.92126
10.478,-0.49301,1.3661,0.93815
10.290,-0.2366,1.4064,0.96149
10.110,-0.47017,1.3559,0.98019
9.938,-0.21931,1.3766,0.99625
9.771,-0.064869,1.382,1.0061
9.611,0.0079861,1.3638,1.0332
9.457,-0.25021,1.3168,1.0494
9.308,-0.38905,1.3614,1.0663
9.164,-0.31764,1.3549,1.0871
9.026,-0.060143,1.3801,1.0977
8.892,-0.44759,1.3447,1.1257
8.762,-0.033633,1.4059,1.1297
8.636,0.14656,1.4154,1.1471
8.515,-0.013269,1.4062,1.1682
8.397,-0.0071337,1.3955,1.1765
8.283,-0.070044,1.3848,1.196
8.172,0.13487,1.422,1.2064
8.064,-0.15115,1.3746,1.2262
7.960,0.035974,1.3769,1.2395
7.859,-0.053955,1.3914,1.2524
7.760,-0.031306,1.3889,1.2619
7.664,0.17385,1.3861,1.2768
7.570,-0.24002,1.3622,1.2932
7.480,0.074494,1.4002,1.3012
7.391,-0.14745,1.3803,1.32
7.305,-0.067967,1.4196,1.3296
